id,steamid,etf2l_name,overall_kills,overall_assists,overall_deaths,overall_dmg,overall_wins,matches_played,win_rate,dapm,date_played
1,[U:1:1059000294],Casper,9,0,15,3664,0,1,0.00,205.27,2023-07-24
2,[U:1:110239401],Yxxo,344,156,337,132291,5,17,29.41,316.86,2023-07-24
3,[U:1:121561437],Townze,343,174,233,128542,4,16,25.00,350.62,2023-07-24
4,[U:1:835892855],MX,45,7,102,20098,2,4,50.00,208.56,2023-07-24
5,[U:1:285229424],Hugee,417,153,343,151172,8,18,44.44,398.87,2023-07-24
6,[U:1:316758676],Osero,460,169,296,153808,8,17,47.06,413.33,2023-07-24
7,[U:1:52038978],drew,269,195,401,133090,11,21,52.38,287.70,2023-07-24
8,[U:1:855862090],Suomipe,339,143,426,132350,14,24,58.33,235.86,2023-07-24
9,[U:1:93135041],row,363,121,511,133204,8,21,38.10,290.45,2023-07-24
10,[U:1:105792079],Jortand,80,49,74,27589,2,5,40.00,271.06,2023-07-24
11,[U:1:38195886],BigZZZ,932,413,1087,327745,26,51,50.98,275.03,2023-07-24
12,[U:1:63819512],Stitzy,1,45,45,944,3,5,60.00,9.86,2023-07-24
13,[U:1:170452617],Seba,469,188,444,158811,11,23,47.83,312.28,2023-07-24
14,[U:1:355793953],Chonkerton,322,250,478,129860,16,27,59.26,210.81,2023-07-24
15,[U:1:117340001],kevin,208,153,263,99247,10,17,58.82,264.98,2023-07-24
16,[U:1:122068635],Berner,259,128,328,95594,7,16,43.75,260.44,2023-07-24
17,[U:1:236419358],Blanc,2130,569,1658,787461,38,74,51.35,458.61,2023-07-24
18,[U:1:63723362],STiNGHAN,863,144,664,284389,21,40,52.50,318.33,2023-07-24
19,[U:1:40977758],lawn,1487,1121,1803,563367,44,110,40.00,218.87,2023-07-24
20,[U:1:230673489],samii,1812,783,1663,635501,46,81,56.79,342.01,2023-07-24
21,[U:1:41890209],kindred,1160,444,900,406777,21,51,41.18,345.73,2023-07-24
22,[U:1:144630819],varnu,1272,586,852,474500,30,54,55.56,391.00,2023-07-24
23,[U:1:346771441],nebuden,872,471,738,362573,25,57,43.86,284.73,2023-07-24
24,[U:1:106244285],bb,323,134,318,120644,8,19,42.11,321.56,2023-07-24
25,[U:1:112650503],kpn.,279,247,308,108010,11,20,55.00,245.17,2023-07-24
26,[U:1:159147733],redlix,599,197,384,199572,13,24,54.17,353.75,2023-07-24
27,[U:1:127859943],peak,1511,766,1266,533936,32,68,47.06,331.51,2023-07-24
28,[U:1:206838965],AlesKee,793,404,600,353945,22,39,56.41,398.00,2023-07-24
29,[U:1:160494787],darkitime,354,118,263,126567,14,17,82.35,365.40,2023-07-24
30,[U:1:171183924],FizzyPug,1046,318,1249,395162,31,60,51.67,274.75,2023-07-24
31,[U:1:128358531],Yawnn,260,241,302,101749,12,19,63.16,226.34,2023-07-24
32,[U:1:298221737],laiky,94,20,60,29906,3,4,75.00,368.45,2023-07-24
33,[U:1:316415963],stun,1217,312,1445,466465,30,64,46.88,315.14,2023-07-24
34,[U:1:372241674],veksutin,9,2,12,4661,1,1,100.00,298.78,2023-07-24
35,[U:1:138153086],Wata,203,1177,680,69810,36,76,47.37,40.78,2023-07-24
36,[U:1:108321727],MatZer,228,110,161,95199,4,10,40.00,417.57,2023-07-24
37,[U:1:83755882],ox.,235,99,165,76860,3,10,30.00,333.96,2023-07-24
38,[U:1:143441153],Toaster1337,818,281,653,284654,16,36,44.44,317.83,2023-07-24
39,[U:1:977832462],Mk.3,9,10,11,2736,1,1,100.00,123.52,2023-07-24
40,[U:1:77294380],MS,94,41,122,31345,2,5,40.00,273.08,2023-07-24
41,[U:1:1213744611],Zag,120,18,103,40919,5,6,83.33,300.36,2023-07-24
42,[U:1:87005070],DickSauce,207,128,161,90046,4,9,44.44,389.14,2023-07-24
43,[U:1:98224660],kid warrior,130,61,60,37067,2,5,40.00,368.34,2023-07-24
44,[U:1:294231699],Mong,1663,545,1887,639134,45,77,58.44,360.09,2023-07-24
45,[U:1:22162172],TheMasterOfDisaster,968,732,1626,314886,38,75,50.67,172.16,2023-07-24
46,[U:1:142193306],Lucian,970,294,781,295919,16,33,48.48,369.09,2023-07-24
47,[U:1:143633930],pijacka,1473,668,1081,569424,32,64,50.00,372.77,2023-07-24
48,[U:1:881904094],MagicShop,30,37,58,14880,1,4,25.00,162.89,2023-07-24
49,[U:1:51292522],supra,2,11,10,272,0,1,0.00,16.44,2023-07-24
50,[U:1:14220905],SchmitShot,574,380,464,200231,22,31,70.97,284.12,2023-07-24
51,[U:1:34044692],Assassin+,578,456,567,204092,14,33,42.42,267.91,2023-07-24
52,[U:1:178292277],James,611,347,653,226303,20,37,54.05,252.00,2023-07-24
53,[U:1:38255057],Clark,433,163,345,151854,12,19,63.16,378.06,2023-07-24
54,[U:1:86560303],Axio,316,188,285,105441,12,17,70.59,282.73,2023-07-24
55,[U:1:1016389893],Mimmoguy,98,61,187,48190,7,9,77.78,239.06,2023-07-24
56,[U:1:34394789],Liko,101,32,98,32612,2,5,40.00,335.69,2023-07-24
57,[U:1:254738923],Yupsilon,158,50,166,58255,5,8,62.50,312.61,2023-07-24
58,[U:1:86633992],Harry,73,57,111,29885,4,6,66.67,197.33,2023-07-24
59,[U:1:93620952],PurpleMurch,2,41,31,515,1,2,50.00,10.25,2023-07-24
60,[U:1:472671769],ATLAR,47,8,61,17017,3,4,75.00,190.88,2023-07-24
61,[U:1:366869734],frbuz,238,38,177,82553,4,10,40.00,349.06,2023-07-24
62,[U:1:85949170],miknando,75,10,88,30981,2,3,66.67,319.06,2023-07-24
63,[U:1:194963619],GOZ,63,76,73,27537,4,6,66.67,179.28,2023-07-24
64,[U:1:137240493],Kosuke,171,63,153,61198,3,7,42.86,354.02,2023-07-24
65,[U:1:468872526],ryft,187,61,210,84046,4,10,40.00,362.32,2023-07-24
66,[U:1:482398482],Strong Arm,122,51,168,50947,6,9,66.67,263.66,2023-07-24
67,[U:1:399120986],DastRon,714,507,612,273784,18,34,52.94,328.31,2023-07-24
68,[U:1:179733554],Haiva,125,42,115,55263,2,6,33.33,392.45,2023-07-24
69,[U:1:106786225],Condawg,120,56,137,48672,3,7,42.86,282.68,2023-07-24
70,[U:1:106022087],Faisal,37,44,39,13604,1,3,33.33,232.61,2023-07-24
71,[U:1:87326399],wax,2,72,50,701,2,4,50.00,7.91,2023-07-24
72,[U:1:71706948],Sketis,150,77,174,58584,8,10,80.00,260.66,2023-07-24
73,[U:1:89140144],dempsey,222,125,244,79814,2,12,16.67,287.91,2023-07-24
