id,steamid,etf2l_name,overall_kills,overall_assists,overall_deaths,overall_dmg,overall_wins,matches_played,win_rate,dapm
1,[U:1:110239401],Yxxo,558,195,429,302090,14,27,51.85,521.91
2,[U:1:121561437],Townze,96,34,66,47963,1,6,16.67,422.40
3,[U:1:285229424],Hugee,1316,446,898,628147,30,58,51.72,503.72
4,[U:1:316758676],Osero,85,46,61,45296,3,4,75.00,514.14
5,[U:1:52038978],drew,1528,763,2006,968351,55,109,50.46,415.14
6,[U:1:855862090],Suomipe,106,49,141,58676,3,9,33.33,307.69
7,[U:1:93135041],row,228,100,323,129258,7,17,41.18,359.30
8,[U:1:38195886],BigZZZ,251,89,274,122283,5,15,33.33,374.57
9,[U:1:170452617],Seba,403,162,502,208169,11,26,42.31,374.46
10,[U:1:117340001],kevin,517,220,457,274055,16,33,48.48,422.76
11,[U:1:236419358],Blanc,2428,719,1541,1124024,55,89,61.80,576.47
12,[U:1:40977758],lawn,71,38,139,39783,1,9,11.11,263.93
13,[U:1:230673489],samii,3655,1067,2325,1630142,73,137,53.28,528.61
14,[U:1:41890209],kindred,400,182,427,234262,11,26,42.31,405.40
15,[U:1:144630819],varnu,318,167,236,178364,12,16,75.00,476.08
16,[U:1:346771441],nebuden,1831,721,1582,1008034,48,101,47.52,430.51
17,[U:1:106244285],bb,394,145,427,203382,14,23,60.87,435.85
18,[U:1:112650503],kpn.,580,262,526,313893,18,31,58.06,430.29
19,[U:1:159147733],redlix,53,19,66,31428,0,5,0.00,402.41
20,[U:1:127859943],peak,139,61,167,89096,2,9,22.22,411.43
21,[U:1:206838965],AlesKee,2211,918,1840,1303446,60,119,50.42,496.01
22,[U:1:160494787],darkitime,96,44,112,58976,4,8,50.00,391.35
23,[U:1:171183924],FizzyPug,0,0,1,0,0,1,0.00,0.00
24,[U:1:298221737],laiky,138,40,117,62329,4,6,66.67,437.60
25,[U:1:138153086],Wata,113,46,138,68540,4,8,50.00,378.15
26,[U:1:108321727],MatZer,115,66,73,61763,3,6,50.00,499.90
27,[U:1:83755882],ox.,159,75,159,89265,4,9,44.44,434.34
28,[U:1:143441153],Toaster1337,1,0,13,3016,0,1,0.00,237.48
29,[U:1:87005070],DickSauce,54,35,70,47607,1,4,25.00,478.70
30,[U:1:294231699],Mong,141,58,145,78127,7,9,77.78,390.96
31,[U:1:22162172],TheMasterOfDisaster,2,2,17,2647,0,1,0.00,153.01
32,[U:1:143633930],pijacka,4338,1618,3382,2435887,114,210,54.29,532.93
33,[U:1:14220905],SchmitShot,468,165,364,263143,15,26,57.69,460.56
34,[U:1:34044692],Assassin+,2989,1210,2585,1596459,67,154,43.51,457.49
35,[U:1:38255057],Clark,4539,1728,3728,2237789,107,217,49.31,457.49
36,[U:1:86560303],Axio,426,138,439,236915,9,25,36.00,434.76
37,[U:1:1016389893],Mimmoguy,54,22,114,33306,4,6,66.67,281.34
38,[U:1:34394789],Liko,75,31,76,41315,1,3,33.33,422.52
39,[U:1:254738923],Yupsilon,126,42,116,64274,4,7,57.14,422.62
40,[U:1:86633992],Harry,66,31,73,39840,3,5,60.00,418.19
41,[U:1:472671769],ATLAR,5,1,3,2141,1,1,100.00,66.08
42,[U:1:85949170],miknando,37,22,40,21490,2,2,100.00,391.20
43,[U:1:194963619],GOZ,184,83,125,102142,5,11,45.45,452.89
44,[U:1:137240493],Kosuke,127,44,118,65928,3,6,50.00,455.46
45,[U:1:468872526],ryft,67,33,74,42832,2,4,50.00,399.12
46,[U:1:482398482],Strong Arm,6,5,18,5882,0,1,0.00,319.67
47,[U:1:399120986],DastRon,30,22,33,21695,1,2,50.00,533.48
48,[U:1:106786225],Condawg,342,165,366,185295,14,21,66.67,377.63
49,[U:1:106022087],Faisal,141,55,109,66375,6,8,75.00,442.89
50,[U:1:71706948],Sketis,167,77,231,99435,5,12,41.67,367.28
51,[U:1:89140144],dempsey,486,188,372,238730,9,19,47.37,476.76
52,[U:1:101982160],auto,597,194,578,298953,11,28,39.29,458.95
53,[U:1:82333728],Marv,226,123,313,162260,7,19,36.84,414.92
54,[U:1:285837700],Depruu,68,29,67,36654,3,4,75.00,369.74
55,[U:1:115274071],Teriyaki,7,7,14,6224,1,1,100.00,343.87
56,[U:1:80831329],Jynxii,12,10,23,14365,1,1,100.00,442.68
57,[U:1:389383214],buko,123,40,129,65586,4,8,50.00,387.51
58,[U:1:161960689],Borat,13,12,19,8430,1,1,100.00,329.94
59,[U:1:111667300],menex,495,179,331,260871,12,22,54.55,480.79
60,[U:1:330779065],quarkyonic,402,140,350,217708,10,19,52.63,499.46
61,[U:1:275066432],Elysioner,45,29,44,33617,0,2,0.00,519.98
62,[U:1:204540949],lit,299,144,357,175798,7,19,36.84,412.93
63,[U:1:479446967],jel,47,18,46,26879,1,2,50.00,468.68
64,[U:1:192765534],Agen,744,291,550,388428,21,35,60.00,480.60
65,[U:1:289282302],buma,294,100,311,149998,10,16,62.50,434.73
66,[U:1:94628609],GardenFungus,93,68,133,60900,3,6,50.00,368.35
67,[U:1:84500845],haunts,179,75,187,88384,6,8,75.00,393.66
68,[U:1:231206798],Fancy,366,115,171,157376,6,10,60.00,615.31
69,[U:1:373861057],Arentrir,170,75,166,91960,2,9,22.22,432.04
70,[U:1:68503598],ollitf,340,161,411,229102,11,27,40.74,384.01
71,[U:1:1025409876],racecar,229,87,309,124902,4,15,26.67,358.40
72,[U:1:183215788],Fabeure,6363,2801,6167,3818047,185,356,51.97,471.99
73,[U:1:288301632],Wattseyy,38,10,39,20845,1,2,50.00,405.02
74,[U:1:138485346],Sabesaroo,27,13,34,16547,2,2,100.00,364.87
75,[U:1:101810142],Arcades,412,206,386,239330,13,24,54.17,430.86
76,[U:1:131466829],Cookie_,32,16,17,20020,1,2,50.00,557.14
77,[U:1:183577455],chocolate,13,9,11,6775,0,1,0.00,438.98
78,[U:1:115028932],bran,26,13,36,17818,1,2,50.00,354.94
79,[U:1:28467840],buddy,1010,352,629,487602,23,43,53.49,534.14
80,[U:1:90645211],Piney,72,26,58,36627,1,4,25.00,438.12
81,[U:1:422483765],P1nball,42,22,45,22291,2,3,66.67,357.04
82,[U:1:32393766],Sacrilege,71,42,95,43393,2,7,28.57,325.73
83,[U:1:41152020],Der_Milchmann,342,172,538,213213,15,25,60.00,389.82
84,[U:1:103548491],[☁]Emiel,45,17,54,30047,1,3,33.33,429.35
85,[U:1:84055738],Dejvi,4414,1572,4017,2217732,106,212,50.00,475.36
86,[U:1:112621228],lardox,144,53,172,68251,2,6,33.33,427.28
87,[U:1:162973073],wiitabix,1123,435,1060,578064,35,65,53.85,399.99
88,[U:1:364509748],Aaron,74,30,68,35669,2,4,50.00,375.20
89,[U:1:60508241],CoCoBaer,64,21,85,38356,1,4,25.00,399.13
90,[U:1:354890507],Senor el general,62,26,96,41183,0,6,0.00,346.46
91,[U:1:100967616],$neaky,3724,1444,3009,1961396,92,166,55.42,533.74
92,[U:1:173395134],ollie,89,49,102,52517,3,6,50.00,407.00
93,[U:1:82123920],Straus,432,167,432,246386,15,29,51.72,449.79
94,[U:1:422224000],Lewdio,15,7,14,7585,1,1,100.00,346.88
95,[U:1:191313389],Loopy,13,4,10,5904,0,1,0.00,442.80
96,[U:1:248256384],ALOV69,150,58,107,70497,1,7,14.29,477.03
97,[U:1:371148479],arth,15,7,10,5643,1,1,100.00,349.77
98,[U:1:241073429],Highlander,263,84,205,146482,8,14,57.14,499.91
99,[U:1:169751607],lit.fam,14,7,17,7544,0,1,0.00,347.65
100,[U:1:487784807],Houf,304,111,354,165698,5,19,26.32,405.69
101,[U:1:838538117],African Communist,469,202,335,258659,12,25,48.00,444.85
102,[U:1:237340554],Akio,25,11,37,13071,0,1,0.00,398.10
103,[U:1:84941035],Norbi,21,7,29,15226,0,2,0.00,357.84
104,[U:1:364546186],Pawel,89,47,133,58675,0,7,0.00,374.52
105,[U:1:165144675],Xochy Pivo,307,148,395,201433,10,23,43.48,375.96
106,[U:1:31964550],Tercio,193,96,171,108392,5,10,50.00,468.18
107,[U:1:10247471],HartzFartz,7,2,15,4096,1,2,50.00,263.13
108,[U:1:67582501],JoeN,668,254,521,351294,13,30,43.33,524.61
109,[U:1:168887301],.xio,62,29,47,32877,1,4,25.00,372.19
110,[U:1:1191805576],Lighter,24,20,49,17822,1,2,50.00,320.06
111,[U:1:1045325347],Mase,26,9,30,12634,0,1,0.00,415.59
112,[U:1:910498548],tendon,89,61,100,71037,2,6,33.33,486.00
113,[U:1:102629081],Demos,111,47,93,70903,4,6,66.67,461.51
114,[U:1:62768585],numb,135,81,164,88748,4,9,44.44,427.91
115,[U:1:166329375],Weazel,196,84,255,109819,6,11,54.55,397.99
116,[U:1:456130159],Zilaz,13,3,36,6311,0,1,0.00,247.01
117,[U:1:150233626],CoppyZ,16,8,27,10393,0,1,0.00,364.03
118,[U:1:106711772],namba,5853,2407,4928,3292442,152,302,50.33,483.48
119,[U:1:143474481],ruadhr1,18,11,27,9837,0,2,0.00,339.60
120,[U:1:424423660],Guz,2188,742,1587,1014416,59,103,57.28,427.85
121,[U:1:242658929],trum,28,8,21,11452,0,1,0.00,429.72
122,[U:1:236587882],frost,21,8,27,13746,0,1,0.00,432.72
123,[U:1:136305209],Buud,900,354,741,464026,23,42,54.76,462.38
124,[U:1:170965550],Yui,142,34,107,61830,3,6,50.00,422.91
125,[U:1:87562923],Cyanic,160,69,175,92549,5,10,50.00,422.21
126,[U:1:100358501],bluR-,25,11,14,7669,1,1,100.00,304.93
127,[U:1:67231495],shappie,254,103,168,131920,9,12,75.00,524.85
128,[U:1:346694113],deemore,23,19,24,11730,1,1,100.00,388.20
129,[U:1:124532573],gtlm.,79,29,68,43197,2,4,50.00,408.48
130,[U:1:182286974],res,305,135,224,169176,5,15,33.33,486.77
131,[U:1:920460],ZakMcRofl,35,18,76,24919,2,3,66.67,320.91
132,[U:1:368558514],kori,65,19,54,29639,2,3,66.67,388.88
133,[U:1:103369113],eron,171,85,209,108241,3,13,23.08,365.37
134,[U:1:158246276],doug,17,7,34,10416,0,2,0.00,313.11
135,[U:1:39214368],Villdjack,289,149,363,178893,6,19,31.58,439.52
136,[U:1:342701279],shadow,23,15,17,14636,0,1,0.00,468.60
137,[U:1:62805912],yak,222,84,208,114366,6,12,50.00,467.47
138,[U:1:216791073],Sake,22,11,33,14382,0,2,0.00,350.07
139,[U:1:243741809],DelT,100,37,74,50755,4,5,80.00,473.24
140,[U:1:76558752],StelaZ_,23,20,45,18858,1,3,33.33,323.65
141,[U:1:89717288],Lanzer,81,26,59,43335,1,4,25.00,465.88
142,[U:1:163789798],saltyy,57,23,61,32034,0,3,0.00,451.61
143,[U:1:212076167],Mlody,22,10,21,10558,2,2,100.00,338.94
144,[U:1:25305114],Silvermaster,1846,761,1709,1008313,54,103,52.43,430.19
145,[U:1:122273170],Buck824,15,5,14,8035,0,1,0.00,348.09
146,[U:1:268676104],hErtz,24,8,21,13067,0,1,0.00,502.58
147,[U:1:281379116],kreumat,4,3,7,3362,1,1,100.00,243.04
148,[U:1:214681073],Timka,79,57,140,60743,2,7,28.57,356.93
