id,steamid,etf2l_name,overall_kills,overall_assists,overall_deaths,overall_dmg,overall_wins,matches_played,win_rate,dapm,date_played
1,[U:1:285229424],Hugee,135,50,123,67234,2,7,28.57,704.83,2023-07-24
2,[U:1:117340001],kevin,90,45,86,47920,4,6,66.67,578.17,2023-07-24
3,[U:1:346771441],nebuden,331,139,277,178606,9,19,47.37,530.05,2023-07-24
4,[U:1:121561437],Townze,85,30,58,41919,1,5,20.00,632.20,2023-07-24
5,[U:1:206838965],AlesKee,439,181,299,233285,13,21,61.90,638.71,2023-07-24
6,[U:1:108321727],MatZer,73,53,52,44442,2,4,50.00,662.42,2023-07-24
7,[U:1:236419358],Blanc,782,186,418,327029,14,24,58.33,855.22,2023-07-24
8,[U:1:230673489],samii,120,37,78,57223,1,5,20.00,699.16,2023-07-24
9,[U:1:143633930],pijacka,441,153,310,223331,9,19,47.37,690.17,2023-07-24
10,[U:1:38255057],Clark,127,40,107,54467,4,5,80.00,556.97,2023-07-24
11,[U:1:472671769],ATLAR,5,1,3,2141,1,1,100.00,61.19,2023-07-24
12,[U:1:1016389893],Mimmoguy,49,19,102,30042,4,5,80.00,378.42,2023-07-24
13,[U:1:106786225],Condawg,32,11,42,16438,1,2,50.00,377.98,2023-07-24
14,[U:1:110239401],Yxxo,30,6,19,12086,0,1,0.00,796.68,2023-07-24
15,[U:1:468872526],ryft,25,14,43,20681,1,2,50.00,468.28,2023-07-24
16,[U:1:80831329],Jynxii,12,10,23,14365,1,1,100.00,409.26,2023-07-24
17,[U:1:330779065],quarkyonic,99,43,93,48441,1,5,20.00,705.78,2023-07-24
18,[U:1:389383214],buko,62,24,70,31530,1,4,25.00,500.35,2023-07-24
19,[U:1:289282302],buma,90,21,101,38628,3,5,60.00,602.96,2023-07-24
20,[U:1:52038978],drew,118,64,171,77782,4,8,50.00,477.45,2023-07-24
21,[U:1:1025409876],racecar,98,41,148,55415,2,7,28.57,446.38,2023-07-24
22,[U:1:183215788],Fabeure,300,118,307,182310,6,16,37.50,577.13,2023-07-24
23,[U:1:41890209],kindred,27,11,47,18186,1,3,33.33,644.38,2023-07-24
24,[U:1:399120986],DastRon,30,22,33,21695,1,2,50.00,796.44,2023-07-24
25,[U:1:84500845],haunts,58,30,64,28206,2,3,66.67,501.34,2023-07-24
26,[U:1:183577455],chocolate,13,9,11,6775,0,1,0.00,853.32,2023-07-24
27,[U:1:127859943],peak,64,19,73,37562,1,4,25.00,537.31,2023-07-24
28,[U:1:137240493],Kosuke,38,15,35,21307,1,2,50.00,570.11,2023-07-24
29,[U:1:192765534],Agen,81,30,71,42213,2,4,50.00,604.84,2023-07-24
30,[U:1:115028932],bran,26,13,36,17818,1,2,50.00,450.18,2023-07-24
31,[U:1:84055738],Dejvi,123,38,114,60241,2,4,50.00,471.45,2023-07-24
32,[U:1:162973073],wiitabix,48,21,42,23080,2,2,100.00,430.98,2023-07-24
33,[U:1:364509748],Aaron,74,30,68,35669,2,4,50.00,478.18,2023-07-24
34,[U:1:112621228],lardox,144,53,172,68251,2,6,33.33,482.08,2023-07-24
35,[U:1:100967616],$neaky,293,105,244,152894,8,12,66.67,704.36,2023-07-24
36,[U:1:173395134],ollie,21,14,38,18885,1,3,33.33,712.40,2023-07-24
37,[U:1:106244285],bb,51,21,60,27800,2,3,66.67,556.23,2023-07-24
38,[U:1:288301632],Wattseyy,12,1,15,6704,0,1,0.00,610.52,2023-07-24
