id,steamid,etf2l_name,overall_kills,overall_assists,overall_deaths,overall_dmg,overall_wins,matches_played,win_rate,dapm
1,[U:1:110239401],Yxxo,171,125,126,62928,7,12,58.33,222.12
2,[U:1:121561437],Townze,11,19,20,6573,0,1,0.00,244.35
3,[U:1:285229424],Hugee,52,23,74,19359,4,4,100.00,207.71
4,[U:1:52038978],drew,792,731,1063,313255,38,68,55.88,215.41
5,[U:1:105792079],Jortand,848,703,987,336854,29,66,43.94,244.69
6,[U:1:38195886],BigZZZ,2025,1350,2511,789528,96,168,57.14,218.06
7,[U:1:170452617],Seba,27,11,31,8543,1,2,50.00,219.33
8,[U:1:355793953],Chonkerton,1778,1999,2783,852743,99,176,56.25,218.08
9,[U:1:117340001],kevin,12,11,8,3753,0,1,0.00,178.43
10,[U:1:236419358],Blanc,8,14,17,5056,0,1,0.00,277.55
11,[U:1:40977758],lawn,10136,8655,10136,3862655,326,761,42.84,220.97
12,[U:1:230673489],samii,752,529,656,270644,26,54,48.15,240.94
13,[U:1:41890209],kindred,340,261,228,115776,9,19,47.37,264.27
14,[U:1:144630819],varnu,890,775,552,352984,36,55,65.45,277.79
15,[U:1:346771441],nebuden,68,32,35,20586,3,5,60.00,199.38
16,[U:1:112650503],kpn.,7,7,8,2400,0,1,0.00,163.08
17,[U:1:159147733],redlix,10,21,9,5074,0,1,0.00,209.67
18,[U:1:127859943],peak,540,297,614,176019,14,33,42.42,232.53
19,[U:1:206838965],AlesKee,2425,2170,2098,950532,99,174,56.90,249.02
20,[U:1:160494787],darkitime,74,60,54,26165,3,5,60.00,236.08
21,[U:1:128358531],Yawnn,624,588,753,256086,25,53,47.17,198.35
22,[U:1:298221737],laiky,9,10,8,4202,1,1,100.00,231.73
23,[U:1:316415963],stun,115,79,153,40804,2,9,22.22,179.19
24,[U:1:138153086],Wata,131,131,133,55020,8,13,61.54,172.89
25,[U:1:143441153],Toaster1337,1305,1319,1437,486270,45,93,48.39,220.61
26,[U:1:977832462],Mk.3,357,278,417,138169,20,31,64.52,187.65
27,[U:1:294231699],Mong,61,34,64,22832,3,5,60.00,199.32
28,[U:1:22162172],TheMasterOfDisaster,213,234,367,87797,11,22,50.00,168.77
29,[U:1:142193306],Lucian,1,0,2,271,0,1,0.00,92.91
30,[U:1:143633930],pijacka,1008,705,727,346856,27,52,51.92,288.17
31,[U:1:881904094],MagicShop,3,13,9,3243,0,1,0.00,178.19
32,[U:1:14220905],SchmitShot,921,794,681,368357,40,65,61.54,261.32
33,[U:1:34044692],Assassin+,717,570,589,254988,26,46,56.52,255.88
34,[U:1:178292277],James,1369,1234,1658,528060,65,113,57.52,208.08
35,[U:1:38255057],Clark,111,73,69,38512,2,6,33.33,253.17
36,[U:1:86560303],Axio,1651,1175,1459,594793,48,106,45.28,251.98
37,[U:1:34394789],Liko,18,14,24,6532,1,1,100.00,218.71
38,[U:1:472671769],ATLAR,18,5,24,5458,1,1,100.00,266.24
39,[U:1:85949170],miknando,18,12,13,6389,1,1,100.00,267.14
40,[U:1:194963619],GOZ,451,498,423,204415,18,44,40.91,221.37
41,[U:1:468872526],ryft,106,92,127,38866,7,11,63.64,181.42
42,[U:1:179733554],Haiva,27,12,26,9046,0,2,0.00,213.27
43,[U:1:106786225],Condawg,280,237,364,118324,14,24,58.33,224.94
44,[U:1:106022087],Faisal,10,18,13,3796,1,1,100.00,140.51
45,[U:1:87326399],wax,25,36,42,13934,2,3,66.67,187.54
46,[U:1:71706948],Sketis,57,54,55,22406,3,4,75.00,237.35
47,[U:1:89140144],dempsey,98,78,86,40743,5,9,55.56,218.21
