id,steamid,etf2l_name,overall_kills,overall_assists,overall_deaths,overall_dmg,overall_wins,matches_played,win_rate,dapm,date_played
1,[U:1:52038978],drew,21,12,33,8361,1,3,33.33,390.90,2023-07-24
2,[U:1:38195886],BigZZZ,180,121,196,65354,6,13,46.15,278.94,2023-07-24
3,[U:1:40977758],lawn,942,825,971,362060,23,70,32.86,295.13,2023-07-24
4,[U:1:144630819],varnu,131,90,76,49627,3,7,42.86,360.26,2023-07-24
5,[U:1:143441153],Toaster1337,130,96,131,48352,4,9,44.44,255.32,2023-07-24
6,[U:1:977832462],Mk.3,9,10,11,2736,1,1,100.00,167.30,2023-07-24
7,[U:1:178292277],James,285,228,325,105224,13,21,61.90,273.69,2023-07-24
8,[U:1:86560303],Axio,91,50,68,27288,2,4,50.00,334.40,2023-07-24
9,[U:1:472671769],ATLAR,18,5,24,5458,1,1,100.00,389.63,2023-07-24
10,[U:1:129880729],Lilliputt,536,449,522,187516,19,36,52.78,258.69,2023-07-24
11,[U:1:110239401],Yxxo,38,25,18,12771,1,2,50.00,273.87,2023-07-24
12,[U:1:106786225],Condawg,31,17,36,11375,1,2,50.00,222.91,2023-07-24
13,[U:1:881904094],MagicShop,3,13,9,3243,0,1,0.00,293.71,2023-07-24
14,[U:1:275066432],Elysioner,190,159,130,72209,6,12,50.00,367.12,2023-07-24
15,[U:1:355793953],Chonkerton,193,203,304,89591,13,19,68.42,289.39,2023-07-24
16,[U:1:206838965],AlesKee,72,55,59,26114,2,5,40.00,292.13,2023-07-24
17,[U:1:468872526],ryft,13,10,15,3977,1,1,100.00,185.42,2023-07-24
18,[U:1:127859943],peak,62,33,80,22716,1,5,20.00,293.37,2023-07-24
19,[U:1:138153086],Wata,36,37,40,15107,3,3,100.00,274.30,2023-07-24
20,[U:1:101810142],Arcades,119,89,94,46891,6,8,75.00,296.35,2023-07-24
21,[U:1:346771441],nebuden,16,11,9,4811,1,1,100.00,219.37,2023-07-24
22,[U:1:41890209],kindred,158,124,107,55746,4,9,44.44,349.19,2023-07-24
23,[U:1:115028932],bran,8,6,15,3909,1,1,100.00,270.62,2023-07-24
24,[U:1:28467840],buddy,40,28,30,13501,2,3,66.67,491.48,2023-07-24
25,[U:1:163231154],keicam,42,40,34,17940,3,5,60.00,316.35,2023-07-24
26,[U:1:230673489],samii,78,35,65,24088,3,3,100.00,306.38,2023-07-24
27,[U:1:105792079],Jortand,17,18,23,6631,0,1,0.00,283.27,2023-07-24
28,[U:1:128358531],Yawnn,89,96,123,38205,4,7,57.14,229.50,2023-07-24
29,[U:1:71706948],Sketis,31,23,31,12390,2,2,100.00,256.13,2023-07-24
30,[U:1:112621228],lardox,31,17,45,9342,0,2,0.00,309.20,2023-07-24
31,[U:1:416877169],Raccoon,78,75,99,30155,3,7,42.86,218.88,2023-07-24
32,[U:1:192765534],Agen,19,30,20,10626,1,2,50.00,198.98,2023-07-24
33,[U:1:838538117],African Communist,39,44,45,19205,3,4,75.00,267.07,2023-07-24
34,[U:1:14220905],SchmitShot,48,32,34,17452,3,3,100.00,469.46,2023-07-24
35,[U:1:84055738],Dejvi,11,14,7,3158,1,1,100.00,403.84,2023-07-24
36,[U:1:143633930],pijacka,129,81,101,43632,1,5,20.00,321.42,2023-07-24
37,[U:1:111667300],menex,62,51,34,22985,2,4,50.00,354.74,2023-07-24
38,[U:1:316415963],stun,13,11,20,4967,0,1,0.00,133.98,2023-07-24
39,[U:1:434548833],Pr1me,20,14,18,6453,1,2,50.00,233.25,2023-07-24
40,[U:1:288301632],Wattseyy,8,16,24,5659,0,1,0.00,282.83,2023-07-24
41,[U:1:236587882],frost,24,23,25,7473,0,1,0.00,200.57,2023-07-24
42,[U:1:1045325347],Mase,74,94,91,33612,3,6,50.00,274.80,2023-07-24
43,[U:1:54226197],swir,31,30,37,11083,1,2,50.00,278.39,2023-07-24
44,[U:1:102629081],Demos,9,14,13,4089,1,1,100.00,311.85,2023-07-24
45,[U:1:106711772],namba,37,24,23,11031,2,2,100.00,215.37,2023-07-24
46,[U:1:143474481],ruadhr1,5,6,9,2514,0,1,0.00,673.35,2023-07-24
47,[U:1:34044692],Assassin+,53,41,42,16312,1,2,50.00,401.63,2023-07-24
48,[U:1:1247279463],Tywhip,8,5,17,4144,0,1,0.00,399.83,2023-07-24
49,[U:1:100967616],$neaky,6,5,14,4520,0,1,0.00,244.15,2023-07-24
50,[U:1:89140144],dempsey,10,6,13,4853,1,1,100.00,262.14,2023-07-24
51,[U:1:424423660],Guz,19,15,26,8372,1,1,100.00,238.27,2023-07-24
52,[U:1:41152020],Der_Milchmann,8,18,18,6095,1,1,100.00,332.04,2023-07-24
53,[U:1:121561437],Townze,11,19,20,6573,0,1,0.00,272.51,2023-07-24
54,[U:1:236419358],Blanc,8,14,17,5056,0,1,0.00,457.08,2023-07-24
55,[U:1:117340001],kevin,12,11,8,3753,0,1,0.00,254.50,2023-07-24
