id,steamid,etf2l_name,overall_kills,overall_assists,overall_deaths,overall_dmg,overall_wins,matches_played,win_rate,dapm
1,[U:1:110239401],Yxxo,304,220,360,134638,7,20,35.00,305.19
2,[U:1:121561437],Townze,24,18,26,10212,0,1,0.00,315.19
3,[U:1:285229424],Hugee,370,178,342,136246,6,17,35.29,346.07
4,[U:1:316758676],Osero,506,232,348,163915,10,20,50.00,360.72
5,[U:1:52038978],drew,1446,1082,1901,611240,54,94,57.45,286.16
6,[U:1:855862090],Suomipe,49,30,50,17233,3,3,100.00,246.36
7,[U:1:93135041],row,470,250,554,165287,13,29,44.83,278.68
8,[U:1:105792079],Jortand,76,63,98,35143,2,6,33.33,278.95
9,[U:1:38195886],BigZZZ,2519,1302,2828,938790,75,139,53.96,304.42
10,[U:1:170452617],Seba,273,150,264,96987,4,16,25.00,287.28
11,[U:1:355793953],Chonkerton,349,313,620,176226,17,36,47.22,226.92
12,[U:1:117340001],kevin,486,316,506,183443,12,29,41.38,272.31
13,[U:1:122068635],Berner,379,194,441,136261,8,23,34.78,246.60
14,[U:1:236419358],Blanc,137,51,115,50759,4,6,66.67,374.74
15,[U:1:63723362],STiNGHAN,248,114,200,82296,7,14,50.00,291.47
16,[U:1:40977758],lawn,442,336,566,175015,14,34,41.18,236.56
17,[U:1:230673489],samii,343,170,345,132795,9,21,42.86,323.26
18,[U:1:41890209],kindred,783,388,568,277595,18,35,51.43,364.01
19,[U:1:144630819],varnu,1717,956,1152,608851,49,77,63.64,364.59
20,[U:1:346771441],nebuden,353,197,261,125897,9,21,42.86,283.49
21,[U:1:106244285],bb,446,226,327,148126,13,18,72.22,354.61
22,[U:1:112650503],kpn.,197,97,159,71982,5,10,50.00,328.04
23,[U:1:159147733],redlix,160,81,124,58071,4,8,50.00,331.77
24,[U:1:127859943],peak,2332,1161,1871,817399,50,105,47.62,344.35
25,[U:1:206838965],AlesKee,1534,890,1185,568216,37,64,57.81,383.23
26,[U:1:160494787],darkitime,211,116,163,82123,8,13,61.54,322.20
27,[U:1:171183924],FizzyPug,138,85,127,48648,2,8,25.00,253.60
28,[U:1:128358531],Yawnn,994,581,1188,398181,29,65,44.62,288.88
29,[U:1:298221737],laiky,17,4,11,6510,1,1,100.00,402.27
30,[U:1:316415963],stun,508,258,566,195871,14,27,51.85,323.91
31,[U:1:372241674],veksutin,18,11,18,5893,1,1,100.00,274.73
