id,steamid,etf2l_name,overall_kills,overall_assists,overall_deaths,overall_dmg,overall_wins,matches_played,win_rate,dapm,date_played
1,[U:1:316758676],Osero,145,67,75,43889,3,5,60.00,522.82,2023-07-24
2,[U:1:122068635],Berner,259,128,328,95594,7,16,43.75,333.34,2023-07-24
3,[U:1:127859943],peak,1178,580,905,411274,23,49,46.94,454.68,2023-07-24
4,[U:1:316415963],stun,236,111,245,87806,7,12,58.33,485.52,2023-07-24
5,[U:1:87005070],DickSauce,168,89,129,68798,3,7,42.86,472.27,2023-07-24
6,[U:1:206838965],AlesKee,32,24,17,9793,1,2,50.00,484.77,2023-07-24
7,[U:1:83755882],ox.,203,96,135,65275,2,8,25.00,388.18,2023-07-24
8,[U:1:86560303],Axio,53,33,42,18984,2,3,66.67,544.24,2023-07-24
9,[U:1:93135041],row,30,19,42,11697,1,2,50.00,401.43,2023-07-24
10,[U:1:144630819],varnu,392,216,231,142463,9,15,60.00,528.86,2023-07-24
11,[U:1:121561437],Townze,24,18,26,10212,0,1,0.00,291.84,2023-07-24
12,[U:1:143633930],pijacka,109,47,65,36391,2,4,50.00,573.87,2023-07-24
13,[U:1:399120986],DastRon,552,355,449,209662,14,25,56.00,426.10,2023-07-24
14,[U:1:138153086],Wata,22,10,27,10389,0,1,0.00,295.98,2023-07-24
15,[U:1:171183924],FizzyPug,35,21,33,10867,1,2,50.00,258.15,2023-07-24
16,[U:1:204540949],lit,210,134,161,75768,7,10,70.00,460.87,2023-07-24
17,[U:1:106786225],Condawg,21,13,28,7614,0,1,0.00,304.25,2023-07-24
18,[U:1:111667300],menex,162,71,79,50630,2,5,40.00,470.63,2023-07-24
19,[U:1:117340001],kevin,41,38,52,18611,1,3,33.33,299.56,2023-07-24
20,[U:1:192765534],Agen,74,37,64,23354,2,4,50.00,376.73,2023-07-24
21,[U:1:482398482],Strong Arm,14,8,21,5572,1,1,100.00,243.83,2023-07-24
22,[U:1:41890209],kindred,103,64,80,34259,2,4,50.00,440.07,2023-07-24
23,[U:1:236419358],Blanc,95,36,85,38451,2,4,50.00,452.71,2023-07-24
24,[U:1:351458163],Samael,4,2,5,2337,0,1,0.00,922.74,2023-07-24
25,[U:1:289282302],buma,30,16,28,10298,0,1,0.00,278.05,2023-07-24
26,[U:1:294231699],Mong,10,5,17,4703,0,1,0.00,437.08,2023-07-24
27,[U:1:22162172],TheMasterOfDisaster,6,8,20,3186,1,1,100.00,296.09,2023-07-24
28,[U:1:38255057],Clark,26,10,23,8401,0,1,0.00,410.33,2023-07-24
29,[U:1:63723362],STiNGHAN,37,18,29,12399,1,2,50.00,423.99,2023-07-24
30,[U:1:105792079],Jortand,43,19,40,16369,1,3,33.33,427.53,2023-07-24
31,[U:1:41152020],Der_Milchmann,119,85,120,47476,4,5,80.00,393.01,2023-07-24
32,[U:1:170452617],Seba,52,33,31,17273,0,2,0.00,432.07,2023-07-24
33,[U:1:101810142],Arcades,11,13,20,6787,1,1,100.00,289.94,2023-07-24
34,[U:1:34044692],Assassin+,86,60,92,36294,0,4,0.00,421.25,2023-07-24
35,[U:1:38195886],BigZZZ,171,84,209,62928,3,9,33.33,374.86,2023-07-24
36,[U:1:52038978],drew,7,6,12,4075,1,1,100.00,531.46,2023-07-24
37,[U:1:855862090],Suomipe,32,22,38,12588,2,2,100.00,294.75,2023-07-24
38,[U:1:173395134],ollie,33,16,21,9824,1,1,100.00,330.77,2023-07-24
39,[U:1:110239401],Yxxo,48,34,51,21554,3,3,100.00,416.46,2023-07-24
40,[U:1:112621228],lardox,12,8,14,4051,0,1,0.00,467.88,2023-07-24
41,[U:1:106244285],bb,15,9,10,5188,1,1,100.00,597.96,2023-07-24
42,[U:1:346771441],nebuden,17,5,14,5313,0,1,0.00,709.98,2023-07-24
43,[U:1:288301632],Wattseyy,24,10,20,8259,1,1,100.00,355.95,2023-07-24
44,[U:1:128358531],Yawnn,44,51,58,20576,2,3,66.67,330.37,2023-07-24
45,[U:1:14220905],SchmitShot,188,90,115,63486,5,8,62.50,487.36,2023-07-24
46,[U:1:373861057],Arentrir,215,121,164,75323,7,9,77.78,414.45,2023-07-24
47,[U:1:129880729],Lilliputt,24,13,30,9542,0,1,0.00,297.56,2023-07-24
48,[U:1:84500845],haunts,23,12,24,8620,0,1,0.00,404.54,2023-07-24
49,[U:1:40977758],lawn,134,106,168,52230,5,8,62.50,283.46,2023-07-24
50,[U:1:275066432],Elysioner,185,130,138,81588,4,8,50.00,470.95,2023-07-24
51,[U:1:313093032],kirisame,13,12,12,4820,1,1,100.00,421.74,2023-07-24
52,[U:1:241073429],Highlander,47,28,52,19345,1,3,33.33,484.17,2023-07-24
53,[U:1:285229424],Hugee,13,5,9,5420,0,1,0.00,810.19,2023-07-24
54,[U:1:112650503],kpn.,66,29,57,23827,1,4,25.00,512.31,2023-07-24
55,[U:1:115274071],Teriyaki,20,19,25,8502,0,1,0.00,288.18,2023-07-24
56,[U:1:89140144],dempsey,21,16,30,10744,1,1,100.00,289.80,2023-07-24
57,[U:1:91319492],f4t,14,3,16,5252,0,1,0.00,537.78,2023-07-24
58,[U:1:143474481],ruadhr1,14,10,16,3890,1,1,100.00,398.32,2023-07-24
59,[U:1:143441153],Toaster1337,25,16,25,9184,1,1,100.00,455.90,2023-07-24
60,[U:1:119182029],WilliamWanderlust,23,9,17,8443,0,1,0.00,419.12,2023-07-24
61,[U:1:231206798],Fancy,130,63,86,45591,2,4,50.00,491.01,2023-07-24
62,[U:1:119136085],grix,16,7,18,4634,0,1,0.00,361.88,2023-07-24
63,[U:1:100358501],bluR-,42,23,18,14250,1,2,50.00,316.20,2023-07-24
64,[U:1:178292277],James,15,21,24,9298,0,1,0.00,340.62,2023-07-24
65,[U:1:346694113],deemore,20,9,15,6336,1,1,100.00,386.84,2023-07-24
66,[U:1:142193306],Lucian,4,6,9,2897,0,1,0.00,775.93,2023-07-24
67,[U:1:106711772],namba,110,50,118,44289,1,5,20.00,402.98,2023-07-24
68,[U:1:242176874],tom,161,90,148,57414,4,7,57.14,398.43,2023-07-24
69,[U:1:487784807],Houf,10,11,16,5363,0,1,0.00,448.82,2023-07-24
70,[U:1:107815702],Kunonai,45,30,31,13882,1,2,50.00,332.56,2023-07-24
71,[U:1:1045325347],Mase,4,7,13,4357,0,1,0.00,530.29,2023-07-24
72,[U:1:162973073],wiitabix,7,2,8,2628,0,1,0.00,752.86,2023-07-24
73,[U:1:34394789],Liko,23,13,12,6507,1,1,100.00,678.12,2023-07-24
