id,steamid,etf2l_name,overall_kills,overall_assists,overall_deaths,overall_dmg,overall_wins,matches_played,win_rate,dapm
1,[U:1:110239401],Yxxo,1,19,14,411,0,1,0.00,16.35
2,[U:1:285229424],Hugee,21,160,105,4920,10,12,83.33,20.11
3,[U:1:52038978],drew,121,2714,2010,49393,72,157,45.86,14.11
4,[U:1:855862090],Suomipe,2,36,23,1538,2,3,66.67,20.93
5,[U:1:93135041],row,12,296,178,6260,8,22,36.36,13.95
6,[U:1:38195886],BigZZZ,56,430,283,18091,13,30,43.33,29.84
7,[U:1:63819512],Stitzy,7,118,108,2233,5,10,50.00,10.38
8,[U:1:170452617],Seba,5,20,36,1063,1,2,50.00,18.52
9,[U:1:355793953],Chonkerton,0,43,35,566,1,2,50.00,10.30
10,[U:1:117340001],kevin,6,95,57,2321,2,5,40.00,19.17
11,[U:1:122068635],Berner,2,36,26,311,1,2,50.00,6.14
12,[U:1:236419358],Blanc,10,273,148,3377,5,12,41.67,12.65
13,[U:1:40977758],lawn,48,749,590,15789,27,53,50.94,13.81
14,[U:1:230673489],samii,44,1964,945,12407,53,89,59.55,6.83
15,[U:1:144630819],varnu,5,65,37,3072,2,3,66.67,32.67
16,[U:1:346771441],nebuden,23,208,123,6945,6,16,37.50,19.64
17,[U:1:106244285],bb,5,71,40,1793,2,3,66.67,22.01
18,[U:1:112650503],kpn.,31,527,275,8999,21,32,65.63,13.66
19,[U:1:159147733],redlix,36,314,186,12988,8,21,38.10,28.98
20,[U:1:127859943],peak,13,171,114,3138,9,10,90.00,12.63
21,[U:1:206838965],AlesKee,15,519,296,8171,11,32,34.38,11.84
22,[U:1:160494787],darkitime,14,206,129,2879,8,12,66.67,9.75
23,[U:1:171183924],FizzyPug,2,27,20,288,0,1,0.00,8.14
24,[U:1:128358531],Yawnn,0,0,1,0,0,1,0.00,0.00
25,[U:1:298221737],laiky,3,50,31,1232,2,3,66.67,18.01
26,[U:1:138153086],Wata,483,10279,5561,157410,317,653,48.55,10.74
27,[U:1:143441153],Toaster1337,1,46,37,306,0,4,0.00,4.35
28,[U:1:1213744611],Zag,6,67,46,1371,2,4,50.00,13.83
29,[U:1:294231699],Mong,15,230,166,5139,4,13,30.77,19.51
30,[U:1:22162172],TheMasterOfDisaster,11,270,283,3035,5,21,23.81,6.48
31,[U:1:143633930],pijacka,16,195,109,6677,2,11,18.18,24.86
32,[U:1:881904094],MagicShop,0,1,2,0,0,1,0.00,0.00
33,[U:1:51292522],supra,9,76,62,2036,2,4,50.00,18.51
34,[U:1:14220905],SchmitShot,164,1928,1011,53129,62,121,51.24,19.32
35,[U:1:34044692],Assassin+,256,3660,1983,87344,108,215,50.23,18.56
36,[U:1:178292277],James,3,22,12,651,0,1,0.00,25.97
37,[U:1:38255057],Clark,35,366,256,11064,15,27,55.56,19.48
38,[U:1:86560303],Axio,43,554,368,23138,15,43,34.88,26.76
39,[U:1:1016389893],Mimmoguy,2,16,23,395,1,1,100.00,13.28
40,[U:1:254738923],Yupsilon,1,15,11,330,1,1,100.00,14.19
41,[U:1:86633992],Harry,39,858,531,13303,31,59,52.54,10.74
42,[U:1:93620952],PurpleMurch,2,41,31,515,1,2,50.00,10.25
43,[U:1:85949170],miknando,0,10,5,458,0,1,0.00,27.93
44,[U:1:194963619],GOZ,39,472,253,11361,20,37,54.05,14.74
45,[U:1:468872526],ryft,0,18,17,373,0,1,0.00,15.09
46,[U:1:482398482],Strong Arm,1,25,9,571,1,1,100.00,31.34
47,[U:1:399120986],DastRon,1,40,24,428,2,2,100.00,7.18
48,[U:1:179733554],Haiva,17,160,110,5785,8,11,72.73,22.98
49,[U:1:106786225],Condawg,3,48,25,1121,1,2,50.00,22.84
50,[U:1:106022087],Faisal,1,65,24,128,1,2,50.00,2.82
51,[U:1:87326399],wax,46,1452,1053,22068,43,93,46.24,10.55
52,[U:1:71706948],Sketis,6,149,109,2545,3,10,30.00,10.83
53,[U:1:89140144],dempsey,0,11,5,52,0,1,0.00,3.21
54,[U:1:129880729],Lilliputt,9,540,332,4453,19,39,48.72,5.24
55,[U:1:246020109],PyroHam,12,110,119,2767,5,10,50.00,12.74
56,[U:1:101982160],auto,35,477,301,11914,13,27,48.15,18.34
57,[U:1:159105955],sup3rfr3ddy,0,29,16,274,0,2,0.00,6.36
58,[U:1:115274071],Teriyaki,1,29,19,429,1,2,50.00,9.55
59,[U:1:161960689],Borat,6,140,121,1544,5,9,55.56,7.54
60,[U:1:111667300],menex,58,1112,506,22680,37,66,56.06,15.85
61,[U:1:330779065],quarkyonic,0,32,13,303,1,1,100.00,10.56
62,[U:1:204540949],lit,1,16,14,253,0,1,0.00,10.71
63,[U:1:479446967],jel,3,32,24,1017,2,2,100.00,20.76
64,[U:1:192765534],Agen,11,604,328,4477,13,29,44.83,7.06
65,[U:1:94628609],GardenFungus,22,385,199,7692,8,20,40.00,17.48
66,[U:1:84500845],haunts,6,38,26,1475,2,2,100.00,29.66
67,[U:1:92049633],Dave_the_Irate,86,3455,2587,32016,99,230,43.04,6.10
68,[U:1:231206798],Fancy,4,21,13,769,1,1,100.00,25.46
69,[U:1:108878660],Yuval,4,249,128,2759,9,13,69.23,9.94
70,[U:1:373861057],Arentrir,26,194,104,7414,7,11,63.64,29.65
71,[U:1:351458163],Samael,2,23,10,460,0,1,0.00,15.15
72,[U:1:1025409876],racecar,0,10,10,203,1,1,100.00,11.06
73,[U:1:183215788],Fabeure,52,1951,1159,17139,65,115,56.52,6.54
74,[U:1:288301632],Wattseyy,2,83,52,1513,2,5,40.00,13.98
75,[U:1:138485346],Sabesaroo,2,54,57,1540,1,4,25.00,18.14
76,[U:1:101810142],Arcades,161,3071,1476,52364,90,173,52.02,12.84
77,[U:1:131466829],Cookie_,1,8,13,297,0,1,0.00,9.57
78,[U:1:115028932],bran,1,19,14,606,0,1,0.00,28.81
79,[U:1:28467840],buddy,69,991,500,18667,25,58,43.10,14.76
80,[U:1:422483765],P1nball,0,10,13,96,0,1,0.00,5.20
81,[U:1:32393766],Sacrilege,47,1250,920,18361,39,79,49.37,9.91
82,[U:1:163231154],keicam,0,15,3,0,1,1,100.00,0.00
83,[U:1:103548491],[☁]Emiel,12,364,245,7135,11,26,42.31,13.22
84,[U:1:136818336],monty,0,23,22,79,0,1,0.00,2.45
85,[U:1:84055738],Dejvi,15,276,210,3767,7,18,38.89,10.55
86,[U:1:1106536089],mks_tf2,0,12,21,65,1,1,100.00,2.45
87,[U:1:162973073],wiitabix,4,56,36,1430,1,3,33.33,21.31
88,[U:1:60508241],CoCoBaer,29,214,119,6548,8,13,61.54,22.14
89,[U:1:100967616],$neaky,17,227,172,5072,9,14,64.29,16.42
90,[U:1:173395134],ollie,5,160,82,1627,5,7,71.43,9.59
91,[U:1:82123920],Straus,12,376,211,4580,10,24,41.67,8.82
92,[U:1:248256384],ALOV69,10,53,34,1794,2,4,50.00,24.10
93,[U:1:487784807],Houf,0,0,11,0,2,6,33.33,0.00
94,[U:1:838538117],African Communist,5,112,90,1285,4,8,50.00,7.01
95,[U:1:237340554],Akio,0,13,0,384,1,1,100.00,23.75
96,[U:1:84941035],Norbi,0,10,11,263,0,1,0.00,14.40
97,[U:1:165144675],Xochy Pivo,1,7,9,299,0,1,0.00,15.85
98,[U:1:31964550],Tercio,1,9,11,65,0,1,0.00,4.18
99,[U:1:10247471],HartzFartz,27,538,406,10965,11,38,28.95,16.53
100,[U:1:3435379],Leila,17,387,296,8113,12,27,44.44,13.56
101,[U:1:67582501],JoeN,5,21,20,623,1,2,50.00,17.27
102,[U:1:38617858],Serik,0,20,18,379,0,1,0.00,12.00
103,[U:1:168887301],.xio,93,1784,896,38196,55,102,53.92,16.68
104,[U:1:186812575],Un4given,2,153,87,1569,7,11,63.64,7.38
105,[U:1:1045325347],Mase,5,50,23,535,3,4,75.00,7.89
106,[U:1:102629081],Demos,2,43,24,692,1,2,50.00,13.19
107,[U:1:170162153],Gaul Soodman,0,0,0,0,1,1,100.00,0.00
108,[U:1:166329375],Weazel,5,90,56,1201,2,4,50.00,9.86
109,[U:1:106711772],namba,7,47,39,2729,2,4,50.00,31.98
110,[U:1:143474481],ruadhr1,0,14,11,273,1,1,100.00,12.32
111,[U:1:282134566],chocomelk,0,15,15,369,0,1,0.00,15.38
112,[U:1:242658929],trum,4,118,61,1182,2,4,50.00,10.65
113,[U:1:170965550],Yui,5,49,35,953,1,3,33.33,12.47
114,[U:1:194687031],Exe_Red,2,12,9,685,0,1,0.00,23.68
115,[U:1:74689694],tua,0,1,0,0,1,1,100.00,0.00
116,[U:1:162632057],asura,0,12,8,50,0,1,0.00,2.88
117,[U:1:373857651],iusti,3,17,11,610,1,1,100.00,16.98
118,[U:1:1247279463],Tywhip,1,34,29,230,1,2,50.00,4.45
119,[U:1:368558514],kori,1,31,14,107,1,2,50.00,2.57
120,[U:1:103369113],eron,27,1684,894,14631,59,94,62.77,6.98
121,[U:1:423855271],tsaide,3,78,91,1044,0,5,0.00,7.85
122,[U:1:158246276],doug,0,16,9,226,1,1,100.00,14.74
123,[U:1:83602630],Aoshi,4,51,38,952,2,4,50.00,11.04
124,[U:1:184537797],junipooie,0,20,15,278,0,1,0.00,10.87
125,[U:1:73190327],Cronk,0,18,7,340,0,1,0.00,20.04
126,[U:1:39214368],Villdjack,6,151,78,1392,4,9,44.44,6.53
127,[U:1:78882025],Included_Middle,21,253,180,10591,8,18,44.44,26.41
128,[U:1:62805912],yak,7,59,47,2186,4,5,80.00,23.23
129,[U:1:867166456],Oldschool,0,18,11,65,1,1,100.00,2.46
130,[U:1:89717288],Lanzer,8,72,64,1871,2,5,40.00,14.49
131,[U:1:163789798],saltyy,10,143,86,3935,5,11,45.45,17.43
132,[U:1:92195546],b_fisch,44,874,729,12996,23,54,42.59,10.09
133,[U:1:98017834],scrambled,5,69,70,1487,2,6,33.33,13.15
134,[U:1:263957340],sigfff,8,132,113,2546,4,10,40.00,10.17
135,[U:1:212076167],Mlody,0,24,19,666,0,2,0.00,18.18
136,[U:1:25305114],Silvermaster,22,859,440,7175,28,50,56.00,6.48
137,[U:1:122273170],Buck824,4,68,34,1289,1,6,16.67,11.43
138,[U:1:214681073],Timka,13,247,210,4147,7,17,41.18,11.85
139,[U:1:190905255],Luka Enderman,1,14,5,667,0,1,0.00,25.69
140,[U:1:251775087],Endrit,18,305,206,4872,10,20,50.00,10.88
141,[U:1:95409922],Zamparonie,0,14,5,442,1,1,100.00,24.53
142,[U:1:216095022],Husky,0,5,4,122,1,1,100.00,13.68
143,[U:1:55128465],~Solar,0,11,15,252,0,1,0.00,13.58
144,[U:1:43406035],dima,3,25,26,567,0,3,0.00,10.89
145,[U:1:855006242],N3lly,5,43,50,1940,3,3,100.00,25.93
146,[U:1:71968339],Spreijer,8,110,64,1657,2,9,22.22,9.85
147,[U:1:90317877],Domaytoe,2,11,8,264,0,1,0.00,14.41
148,[U:1:3287106],chooper,0,17,15,68,1,1,100.00,3.29
149,[U:1:944645160],charm,0,74,50,459,4,5,80.00,3.98
150,[U:1:48284703],jyrkas,4,14,2,460,1,1,100.00,17.68
151,[U:1:145081941],TBourdon,11,270,131,3718,11,18,61.11,10.26
152,[U:1:477787496],stick,1,0,3,325,0,1,0.00,89.04
153,[U:1:861133286],KEYREAL,3,16,17,388,0,1,0.00,15.29
154,[U:1:66109902],Bob D,40,810,309,13676,25,37,67.57,16.28
155,[U:1:68711672],gedu,0,13,12,105,0,1,0.00,4.25
156,[U:1:131972332],Jack,22,1001,673,10518,37,58,63.79,7.67
157,[U:1:91333396],Morgan,3,139,98,1381,6,8,75.00,7.43
158,[U:1:122797277],pijuka,13,249,145,4921,4,16,25.00,13.21
159,[U:1:169469399],Cloverleaf,0,27,20,221,1,2,50.00,5.86
160,[U:1:201323649],Alabamo,2,18,22,688,1,2,50.00,16.11
161,[U:1:153797806],poy,20,168,78,5474,5,9,55.56,25.55
162,[U:1:297735736],Smellyiot,2,59,35,590,1,3,33.33,7.87
163,[U:1:175790976],Rahmed,3,140,65,2041,4,7,57.14,12.12
164,[U:1:254583159],vekk,1,26,21,233,0,2,0.00,6.89
165,[U:1:212593637],Mr.Whale,3,35,25,477,1,2,50.00,10.70
166,[U:1:191706095],-RAMBO-,0,11,8,243,0,1,0.00,16.59
167,[U:1:256668247],Xi,1,17,11,350,0,1,0.00,17.81
168,[U:1:157124328],zulfie,67,3533,2061,25175,137,219,62.56,5.16
169,[U:1:114891832],Nintails,1,18,8,232,1,1,100.00,9.65
170,[U:1:156248797],Fluff3w,1,34,23,162,1,2,50.00,3.10
171,[U:1:33929218],sub,1,7,8,241,0,1,0.00,13.48
172,[U:1:90900287],,1,35,23,1423,2,2,100.00,28.76
173,[U:1:163964970],Craggles,0,5,12,98,0,1,0.00,6.66
174,[U:1:1241493147],mov,3,69,76,2014,4,8,50.00,12.62
175,[U:1:405860591],Wellan,1,11,19,86,0,1,0.00,3.59
176,[U:1:348173529],Foof,2,14,5,684,0,1,0.00,36.16
177,[U:1:103618507],Matek,2,28,16,507,0,1,0.00,16.03
178,[U:1:91615533],Not Steven,5,205,105,3130,7,12,58.33,10.97
179,[U:1:1100515718],CacTus,17,455,313,6001,16,26,61.54,9.28
180,[U:1:101299045],Reddie,0,10,11,204,0,1,0.00,10.56
181,[U:1:1243916125],Terry,3,28,26,606,1,3,33.33,11.84
182,[U:1:178649582],Sitheach,5,60,31,1448,2,4,50.00,18.11
183,[U:1:308379418],patikuss,0,20,11,248,0,1,0.00,9.85
184,[U:1:322269797],deere,3,45,41,1454,1,4,25.00,18.79
185,[U:1:89124751],ReseF,0,2,6,91,0,1,0.00,9.32
186,[U:1:155328866],Big Papa MattJ,2,175,126,2516,4,10,40.00,9.78
187,[U:1:172930494],Naga,7,196,151,2670,7,14,50.00,8.99
188,[U:1:49161631],dqz,71,1387,764,24536,50,93,53.76,12.05
189,[U:1:128463437],Carnage,1,19,17,567,0,1,0.00,17.75
190,[U:1:166756214],koloda3,22,1046,695,9004,35,68,51.47,5.75
191,[U:1:119994838],G-Dude,0,8,10,75,0,1,0.00,3.95
192,[U:1:76381807],Skyfox,34,665,394,13026,16,39,41.03,14.18
193,[U:1:198951342],Kanga,0,16,3,38,1,1,100.00,2.31
194,[U:1:293072102],Necris,16,342,218,6785,14,25,56.00,12.29
195,[U:1:224615527],skai,0,20,17,87,1,1,100.00,2.70
196,[U:1:208887937],shinso,1,43,17,438,1,3,33.33,7.66
197,[U:1:40714804],qBowN∼,11,245,127,4773,8,14,57.14,13.86
198,[U:1:383388538],nevoskan,3,12,15,933,0,1,0.00,35.88
199,[U:1:46126078],Spoon1337,3,8,11,658,0,1,0.00,36.79
200,[U:1:908576621],celestial,7,98,54,1836,5,5,100.00,13.25
201,[U:1:101654928],simple,1,51,35,222,2,4,50.00,3.08
202,[U:1:120563179],BelkaLetyaga,1,84,87,318,1,6,16.67,2.16
203,[U:1:74050494],Juho,16,462,348,6036,15,31,48.39,8.42
204,[U:1:869663524],Swee7 Pr1nce55,1,15,16,36,1,1,100.00,1.18
205,[U:1:138227616],Sykens,0,119,50,656,7,7,100.00,4.27
206,[U:1:45528883],Boob Lee,0,10,8,0,1,1,100.00,0.00
207,[U:1:859486640],VNGE,0,30,28,88,0,2,0.00,1.88
208,[U:1:101449025],Charon,1,12,10,223,1,1,100.00,13.07
209,[U:1:63123057],tobi ^︿^,27,900,628,7663,25,57,43.86,5.96
210,[U:1:100229218],hu tao,0,13,8,206,0,1,0.00,10.33
211,[U:1:406623115],Gergosz.,0,55,26,239,2,3,66.67,3.71
212,[U:1:61192452],Temmethy,2,30,28,638,0,2,0.00,11.50
213,[U:1:281493306],Mikeal Garden,3,76,54,1070,3,5,60.00,9.32
214,[U:1:244239696],nurse,0,32,44,342,0,2,0.00,6.60
215,[U:1:328592166],Doge,2,21,20,566,0,1,0.00,17.04
216,[U:1:204510198],kejhalb,5,46,24,1617,0,2,0.00,24.66
217,[U:1:100750567],Metroid,0,6,12,0,0,1,0.00,0.00
218,[U:1:1015819721],Strike,10,452,449,5149,16,36,44.44,6.28
219,[U:1:912363981],hzl,5,437,346,2627,9,31,29.03,3.82
220,[U:1:103246966],Kaponei,0,13,8,169,1,1,100.00,12.57
