id,steamid,etf2l_name,overall_kills,overall_assists,overall_deaths,overall_dmg,overall_wins,matches_played,win_rate,dapm,date_played
1,[U:1:855862090],Suomipe,2,36,23,1538,2,3,66.67,23.01,2023-07-24
2,[U:1:63819512],Stitzy,1,45,45,944,2,4,50.00,13.32,2023-07-24
3,[U:1:112650503],kpn.,11,149,73,2509,4,7,57.14,22.77,2023-07-24
4,[U:1:206838965],AlesKee,1,12,7,52,0,1,0.00,6.41,2023-07-24
5,[U:1:138153086],Wata,63,1089,534,18507,32,67,47.76,16.86,2023-07-24
6,[U:1:346771441],nebuden,13,96,52,3024,2,6,33.33,24.38,2023-07-24
7,[U:1:143441153],Toaster1337,0,0,1,0,0,1,0.00,0.00,2023-07-24
8,[U:1:881904094],MagicShop,0,1,2,0,0,1,0.00,0.00,2023-07-24
9,[U:1:51292522],supra,2,11,10,272,0,1,0.00,29.79,2023-07-24
10,[U:1:93135041],row,2,23,22,715,1,2,50.00,32.41,2023-07-24
11,[U:1:86633992],Harry,3,45,31,815,2,3,66.67,18.56,2023-07-24
12,[U:1:93620952],PurpleMurch,2,41,31,515,1,2,50.00,13.05,2023-07-24
13,[U:1:194963619],GOZ,5,52,27,1268,2,3,66.67,17.27,2023-07-24
14,[U:1:106022087],Faisal,1,28,11,89,0,1,0.00,5.87,2023-07-24
15,[U:1:87326399],wax,2,72,50,701,2,4,50.00,11.21,2023-07-24
16,[U:1:86560303],Axio,3,30,14,1469,2,2,100.00,58.39,2023-07-24
17,[U:1:101982160],auto,5,49,40,1989,0,3,0.00,25.05,2023-07-24
18,[U:1:40977758],lawn,3,50,48,1169,3,4,75.00,34.47,2023-07-24
19,[U:1:479446967],jel,0,13,8,199,1,1,100.00,12.92,2023-07-24
20,[U:1:111667300],menex,4,225,121,4802,6,15,40.00,19.28,2023-07-24
21,[U:1:117340001],kevin,2,47,27,759,1,2,50.00,14.80,2023-07-24
22,[U:1:92049633],Dave_the_Irate,15,989,645,6694,25,58,43.10,6.66,2023-07-24
23,[U:1:108878660],Yuval,3,39,30,594,2,3,66.67,9.86,2023-07-24
24,[U:1:127859943],peak,2,50,28,781,2,2,100.00,10.69,2023-07-24
25,[U:1:159147733],redlix,3,48,18,1711,2,3,66.67,29.40,2023-07-24
26,[U:1:52038978],drew,2,68,30,680,3,3,100.00,13.20,2023-07-24
27,[U:1:101810142],Arcades,28,415,232,8966,9,21,42.86,20.37,2023-07-24
28,[U:1:192765534],Agen,7,389,234,2655,5,16,31.25,10.65,2023-07-24
29,[U:1:136818336],monty,0,23,22,79,0,1,0.00,2.28,2023-07-24
30,[U:1:1106536089],mks_tf2,0,12,21,65,1,1,100.00,2.78,2023-07-24
31,[U:1:173395134],ollie,2,42,16,475,1,2,50.00,13.36,2023-07-24
