id,steamid,etf2l_name,overall_kills,overall_assists,overall_deaths,overall_dmg,overall_wins,matches_played,win_rate,dapm
1,[U:1:110239401],Yxxo,185,121,187,63383,3,11,27.27,246.51
2,[U:1:285229424],Hugee,222,159,264,73651,8,16,50.00,220.09
3,[U:1:52038978],drew,38,43,85,15540,2,4,50.00,176.83
4,[U:1:855862090],Suomipe,32,25,48,9894,1,3,33.33,158.94
5,[U:1:93135041],row,62,26,98,22114,2,8,25.00,202.79
6,[U:1:105792079],Jortand,239,235,268,90356,7,18,38.89,239.05
7,[U:1:38195886],BigZZZ,1530,1101,1784,515900,57,96,59.38,239.21
8,[U:1:170452617],Seba,137,94,137,42051,4,7,57.14,248.28
9,[U:1:355793953],Chonkerton,366,206,394,92116,13,26,50.00,161.07
10,[U:1:117340001],kevin,276,156,224,78877,10,17,58.82,216.78
11,[U:1:122068635],Berner,15,10,41,4672,0,1,0.00,164.12
12,[U:1:236419358],Blanc,164,81,138,45824,2,6,33.33,298.85
13,[U:1:40977758],lawn,86,77,126,25088,1,7,14.29,162.87
14,[U:1:230673489],samii,2533,1153,2263,753841,66,103,64.08,313.44
15,[U:1:41890209],kindred,60,43,83,22374,1,4,25.00,230.15
16,[U:1:144630819],varnu,120,111,133,50070,3,8,37.50,281.16
17,[U:1:346771441],nebuden,924,656,640,302284,23,56,41.07,243.84
18,[U:1:106244285],bb,267,139,276,73886,9,14,64.29,224.13
19,[U:1:112650503],kpn.,67,42,55,17445,3,5,60.00,171.20
20,[U:1:159147733],redlix,501,347,474,154856,14,27,51.85,250.60
21,[U:1:127859943],peak,247,166,234,75410,6,14,42.86,245.57
22,[U:1:206838965],AlesKee,833,880,650,308173,32,52,61.54,259.26
23,[U:1:160494787],darkitime,27,21,28,9498,2,3,66.67,201.44
24,[U:1:171183924],FizzyPug,213,175,235,60936,6,16,37.50,169.50
25,[U:1:128358531],Yawnn,1743,1587,2035,622473,76,145,52.41,201.28
26,[U:1:298221737],laiky,35,33,29,13227,1,2,50.00,264.45
27,[U:1:316415963],stun,48,38,84,17175,2,4,50.00,196.29
28,[U:1:138153086],Wata,173,143,177,53024,4,15,26.67,175.37
29,[U:1:108321727],MatZer,39,35,29,11554,1,2,50.00,223.19
30,[U:1:143441153],Toaster1337,177,188,246,66946,9,15,60.00,193.80
31,[U:1:977832462],Mk.3,6,7,15,3064,0,1,0.00,180.59
32,[U:1:77294380],MS,23,14,32,6911,1,2,50.00,173.35
33,[U:1:87005070],DickSauce,174,172,153,69469,9,13,69.23,252.14
34,[U:1:294231699],Mong,21,23,23,7684,2,2,100.00,207.77
35,[U:1:22162172],TheMasterOfDisaster,8715,6102,14298,2869521,343,692,49.57,181.00
36,[U:1:143633930],pijacka,2456,1662,1866,813888,77,118,65.25,305.72
37,[U:1:14220905],SchmitShot,767,564,704,262987,25,43,58.14,273.00
38,[U:1:34044692],Assassin+,2048,1676,1824,637885,75,128,58.59,226.99
39,[U:1:178292277],James,100,101,127,37191,3,8,37.50,196.92
40,[U:1:38255057],Clark,984,566,1149,283155,25,55,45.45,231.59
41,[U:1:86560303],Axio,1580,1293,1680,534572,52,102,50.98,238.27
42,[U:1:34394789],Liko,45,27,41,14355,1,3,33.33,238.65
43,[U:1:254738923],Yupsilon,45,40,73,18938,1,6,16.67,159.43
44,[U:1:85949170],miknando,21,6,24,5988,1,1,100.00,235.13
45,[U:1:194963619],GOZ,179,133,159,63215,3,13,23.08,235.29
46,[U:1:468872526],ryft,102,102,116,37159,5,9,55.56,198.08
47,[U:1:179733554],Haiva,25,28,22,8698,1,1,100.00,264.24
48,[U:1:106786225],Condawg,14,16,35,6335,0,2,0.00,170.14
49,[U:1:106022087],Faisal,19,8,25,6272,0,1,0.00,216.40
50,[U:1:87326399],wax,122,77,229,32888,2,11,18.18,135.11
51,[U:1:71706948],Sketis,1075,885,1184,360429,35,82,42.68,208.85
52,[U:1:89140144],dempsey,1142,677,1005,361461,28,58,48.28,273.66
53,[U:1:129880729],Lilliputt,144,117,205,44936,6,14,42.86,155.07
54,[U:1:246020109],PyroHam,53,63,60,19334,3,5,60.00,206.08
55,[U:1:315471756],Freedie,272,249,329,87856,6,26,23.08,162.89
56,[U:1:101982160],auto,77,52,70,22320,5,5,100.00,222.87
