id,steamid,etf2l_name,overall_kills,overall_assists,overall_deaths,overall_dmg,overall_wins,matches_played,win_rate,dapm,date_played
1,[U:1:105792079],Jortand,20,12,11,4589,1,1,100.00,432.08,2023-07-24
2,[U:1:355793953],Chonkerton,78,44,92,19265,2,5,40.00,225.39,2023-07-24
3,[U:1:171183924],FizzyPug,87,94,117,28913,4,9,44.44,222.79,2023-07-24
4,[U:1:128358531],Yawnn,127,94,121,42968,6,9,66.67,328.08,2023-07-24
5,[U:1:106244285],bb,9,11,12,4347,1,1,100.00,265.81,2023-07-24
6,[U:1:22162172],TheMasterOfDisaster,952,703,1560,307452,37,72,51.39,214.38,2023-07-24
7,[U:1:34044692],Assassin+,153,141,150,53194,4,11,36.36,342.90,2023-07-24
8,[U:1:254738923],Yupsilon,13,17,21,6523,0,2,0.00,343.26,2023-07-24
9,[U:1:38195886],BigZZZ,164,107,190,51656,4,8,50.00,277.95,2023-07-24
10,[U:1:230673489],samii,911,422,723,292875,21,30,70.00,483.70,2023-07-24
11,[U:1:246020109],PyroHam,27,30,23,8816,2,2,100.00,276.40,2023-07-24
12,[U:1:315471756],Freedie,14,12,13,3320,0,1,0.00,237.00,2023-07-24
13,[U:1:115274071],Teriyaki,305,328,374,128181,10,24,41.67,251.84,2023-07-24
14,[U:1:77294380],MS,23,14,32,6911,1,2,50.00,262.12,2023-07-24
15,[U:1:143633930],pijacka,200,122,141,59239,8,9,88.89,368.29,2023-07-24
16,[U:1:192765534],Agen,84,63,90,25956,2,3,66.67,301.67,2023-07-24
17,[U:1:194963619],GOZ,4,8,10,4201,0,1,0.00,333.72,2023-07-24
18,[U:1:159105955],sup3rfr3ddy,13,9,9,2515,0,1,0.00,110.05,2023-07-24
19,[U:1:92537046],Ganon,8,6,20,3600,1,1,100.00,157.53,2023-07-24
20,[U:1:94628609],GardenFungus,180,150,166,71474,4,12,33.33,404.95,2023-07-24
21,[U:1:231206798],Fancy,38,25,41,13150,2,2,100.00,408.19,2023-07-24
22,[U:1:373861057],Arentrir,142,120,165,47185,5,7,71.43,326.17,2023-07-24
23,[U:1:91319492],f4t,6,4,11,2484,0,1,0.00,338.69,2023-07-24
24,[U:1:138153086],Wata,60,37,60,16683,1,4,25.00,186.41,2023-07-24
