id,steamid,etf2l_name,overall_kills,overall_assists,overall_deaths,overall_dmg,overall_wins,matches_played,win_rate,dapm
1,[U:1:110239401],Yxxo,566,261,445,170238,10,23,43.48,322.47
2,[U:1:121561437],Townze,256,128,133,80298,4,10,40.00,361.00
3,[U:1:285229424],Hugee,571,192,435,168975,10,22,45.45,376.56
4,[U:1:316758676],Osero,1715,709,811,517763,26,52,50.00,398.45
5,[U:1:52038978],drew,1088,637,1468,401285,31,63,49.21,278.95
6,[U:1:855862090],Suomipe,547,332,578,171996,15,33,45.45,234.72
7,[U:1:93135041],row,906,524,1015,345616,21,51,41.18,297.27
8,[U:1:105792079],Jortand,23,29,45,14284,1,3,33.33,245.78
9,[U:1:38195886],BigZZZ,1077,493,1316,366823,36,62,58.06,277.13
10,[U:1:170452617],Seba,1797,697,1465,541363,44,71,61.97,347.05
11,[U:1:355793953],Chonkerton,168,146,303,71821,7,16,43.75,199.98
12,[U:1:117340001],kevin,180,100,220,64259,4,13,30.77,248.36
13,[U:1:236419358],Blanc,342,110,213,98582,7,12,58.33,423.46
14,[U:1:63723362],STiNGHAN,131,62,115,43607,1,6,16.67,282.31
15,[U:1:40977758],lawn,164,87,154,45732,3,8,37.50,245.52
16,[U:1:230673489],samii,2239,888,1711,662270,49,96,51.04,319.93
17,[U:1:41890209],kindred,1514,727,1170,504891,32,60,53.33,351.01
18,[U:1:144630819],varnu,2298,1164,1285,844088,48,81,59.26,453.71
19,[U:1:346771441],nebuden,372,217,252,114676,7,19,36.84,277.20
20,[U:1:106244285],bb,348,124,240,103616,8,15,53.33,342.17
21,[U:1:112650503],kpn.,167,72,84,52205,4,7,57.14,360.16
22,[U:1:159147733],redlix,1884,986,1439,581832,39,75,52.00,341.40
23,[U:1:127859943],peak,212,60,155,58926,2,7,28.57,356.95
24,[U:1:206838965],AlesKee,588,343,489,199673,19,27,70.37,329.99
25,[U:1:160494787],darkitime,765,407,507,249601,23,36,63.89,324.74
26,[U:1:171183924],FizzyPug,408,226,359,129283,7,18,38.89,286.50
27,[U:1:128358531],Yawnn,214,134,270,71198,8,16,50.00,231.24
28,[U:1:298221737],laiky,107,41,69,29946,3,3,100.00,335.78
29,[U:1:316415963],stun,563,306,740,203044,17,32,53.13,280.84
30,[U:1:372241674],veksutin,59,17,57,16348,1,2,50.00,326.31
31,[U:1:138153086],Wata,36,26,53,11842,0,4,0.00,209.22
32,[U:1:108321727],MatZer,66,44,58,23094,1,3,33.33,332.53
33,[U:1:83755882],ox.,96,59,60,29361,3,5,60.00,327.39
34,[U:1:143441153],Toaster1337,3416,1918,3204,1094738,85,173,49.13,276.23
35,[U:1:977832462],Mk.3,20,10,30,7126,2,2,100.00,183.98
36,[U:1:98224660],kid warrior,153,69,73,44028,2,6,33.33,374.87
37,[U:1:294231699],Mong,14,7,18,4014,0,1,0.00,259.81
38,[U:1:22162172],TheMasterOfDisaster,221,129,596,80747,7,27,25.93,142.17
39,[U:1:142193306],Lucian,5258,1869,3425,1442846,76,163,46.63,377.37
40,[U:1:143633930],pijacka,1265,470,603,374139,18,35,51.43,435.61
41,[U:1:881904094],MagicShop,27,23,47,11637,1,2,50.00,228.18
42,[U:1:51292522],supra,195,85,251,59664,3,9,33.33,270.44
43,[U:1:14220905],SchmitShot,1907,1020,1135,669151,38,73,52.05,391.87
44,[U:1:34044692],Assassin+,1425,648,904,433061,33,50,66.00,365.79
45,[U:1:178292277],James,54,33,70,16759,2,5,40.00,201.67
46,[U:1:38255057],Clark,6111,2831,4335,1845490,101,242,41.74,342.34
47,[U:1:86560303],Axio,3235,1465,2542,981940,70,133,52.63,333.60
48,[U:1:1016389893],Mimmoguy,147,72,176,45176,5,7,71.43,257.93
49,[U:1:34394789],Liko,190,105,175,56759,8,11,72.73,284.89
50,[U:1:85949170],miknando,345,198,279,113098,9,15,60.00,320.92
51,[U:1:194963619],GOZ,165,103,113,51446,3,9,33.33,279.90
52,[U:1:137240493],Kosuke,213,85,153,60827,3,6,50.00,351.84
53,[U:1:468872526],ryft,460,251,385,151771,8,22,36.36,302.65
54,[U:1:399120986],DastRon,131,90,106,41999,1,5,20.00,332.89
55,[U:1:179733554],Haiva,587,330,509,207000,8,28,28.57,332.59
56,[U:1:106786225],Condawg,118,65,138,40758,3,7,42.86,275.61
57,[U:1:106022087],Faisal,34,19,29,10646,0,2,0.00,277.96
58,[U:1:87326399],wax,19,3,22,4912,0,1,0.00,169.48
59,[U:1:71706948],Sketis,242,131,222,75119,7,14,50.00,260.12
60,[U:1:89140144],dempsey,53,17,34,13381,2,3,66.67,295.71
61,[U:1:129880729],Lilliputt,527,304,679,174491,21,37,56.76,216.99
62,[U:1:101982160],auto,880,265,677,255233,23,36,63.89,338.60
63,[U:1:159105955],sup3rfr3ddy,6,4,11,2134,0,1,0.00,152.25
64,[U:1:82333728],Marv,452,228,262,142131,9,18,50.00,339.36
65,[U:1:285837700],Depruu,541,331,505,180177,10,30,33.33,274.58
66,[U:1:115274071],Teriyaki,15,3,17,4213,1,1,100.00,220.58
67,[U:1:456016415],sunflower,50,17,35,13152,2,2,100.00,297.78
68,[U:1:389383214],buko,78,31,58,24623,2,4,50.00,327.58
69,[U:1:161960689],Borat,27,18,23,7086,0,1,0.00,233.09
70,[U:1:111667300],menex,819,361,378,274921,21,30,70.00,414.74
71,[U:1:330779065],quarkyonic,102,48,95,31127,2,4,50.00,303.09
72,[U:1:275066432],Elysioner,6171,3204,3572,2174022,120,256,46.88,374.83
73,[U:1:204540949],lit,703,300,619,218722,11,30,36.67,322.00
74,[U:1:479446967],jel,39,16,47,13784,0,2,0.00,320.19
75,[U:1:192765534],Agen,1003,414,654,296388,17,37,45.95,352.63
76,[U:1:289282302],buma,455,212,344,138966,11,19,57.89,340.60
77,[U:1:94628609],GardenFungus,506,298,399,168374,17,24,70.83,294.03
78,[U:1:84500845],haunts,363,164,331,116636,7,14,50.00,342.41
79,[U:1:231206798],Fancy,313,139,185,95183,5,10,50.00,409.30
80,[U:1:108878660],Yuval,11,9,23,3538,1,1,100.00,152.61
81,[U:1:373861057],Arentrir,67,27,82,21492,3,5,60.00,257.18
82,[U:1:68503598],ollitf,15,11,17,5148,0,1,0.00,319.42
83,[U:1:1025409876],racecar,328,143,315,105050,6,15,40.00,323.88
84,[U:1:183215788],Fabeure,113,70,155,38760,1,7,14.29,216.42
85,[U:1:288301632],Wattseyy,333,210,342,120570,9,17,52.94,304.70
86,[U:1:101810142],Arcades,434,229,306,131546,11,22,50.00,279.87
87,[U:1:131466829],Cookie_,1181,757,1107,415910,34,68,50.00,276.64
88,[U:1:445703239],WiseGenie,89,33,61,30226,2,4,50.00,361.92
89,[U:1:28467840],buddy,1110,486,678,339186,24,41,58.54,363.14
90,[U:1:90645211],Piney,28,13,15,8543,0,1,0.00,374.42
91,[U:1:422483765],P1nball,235,144,265,76553,9,13,69.23,241.53
92,[U:1:32393766],Sacrilege,2,2,8,902,1,1,100.00,101.16
93,[U:1:41152020],Der_Milchmann,495,238,577,155745,12,23,52.17,286.77
94,[U:1:163231154],keicam,1643,839,1017,535942,37,64,57.81,372.53
95,[U:1:103548491],[☁]Emiel,676,348,747,217038,20,42,47.62,244.11
96,[U:1:84055738],Dejvi,128,69,175,40152,7,9,77.78,231.11
97,[U:1:112621228],lardox,117,36,116,32486,1,4,25.00,340.23
98,[U:1:162973073],wiitabix,2026,901,1255,586684,40,81,49.38,331.75
99,[U:1:851374056],harry,7,5,15,2815,1,1,100.00,155.10
100,[U:1:60508241],CoCoBaer,283,157,280,91246,5,15,33.33,278.56
101,[U:1:96748980],Kwq,19,20,12,7963,1,1,100.00,420.95
102,[U:1:100967616],$neaky,1563,584,1040,477663,30,52,57.69,418.62
103,[U:1:173395134],ollie,13,1,9,3540,0,1,0.00,213.25
104,[U:1:159183735],triple,52,20,26,14739,1,2,50.00,355.44
105,[U:1:82123920],Straus,111,65,126,38984,5,7,71.43,275.28
106,[U:1:422224000],Lewdio,170,54,96,42394,2,5,40.00,383.14
107,[U:1:1102552676],ethereal,27,15,27,7987,2,2,100.00,197.13
108,[U:1:191313389],Loopy,266,84,159,70707,7,8,87.50,395.38
109,[U:1:42954103],rainy,876,496,907,306912,21,41,51.22,332.86
110,[U:1:374702019],Clav,20,13,18,7037,1,1,100.00,289.39
111,[U:1:241073429],Highlander,86,24,90,24665,1,4,25.00,278.60
112,[U:1:169751607],lit.fam,506,224,381,157945,12,25,48.00,304.19
113,[U:1:487784807],Houf,3761,1947,4108,1190112,92,192,47.92,266.51
114,[U:1:838538117],African Communist,28,34,29,12684,0,2,0.00,247.09
115,[U:1:237340554],Akio,66,10,67,18983,1,5,20.00,230.00
116,[U:1:84941035],Norbi,48,31,39,15414,2,3,66.67,242.49
117,[U:1:313093032],kirisame,47,23,67,15991,2,3,66.67,255.38
118,[U:1:364546186],Pawel,41,15,40,10266,1,2,50.00,234.47
119,[U:1:57420578],anni,37,10,9,8511,1,1,100.00,555.67
120,[U:1:165144675],Xochy Pivo,0,0,1,0,1,1,100.00,0.00
121,[U:1:31964550],Tercio,175,112,119,62657,5,7,71.43,367.67
122,[U:1:10247471],HartzFartz,1400,586,1739,420513,43,72,59.72,260.06
123,[U:1:67582501],JoeN,18,4,15,5475,1,1,100.00,328.83
124,[U:1:119182029],WilliamWanderlust,24,9,24,6627,0,1,0.00,254.07
125,[U:1:141929391],morale,26,5,17,7045,1,1,100.00,356.71
126,[U:1:117490478],Brian,8,4,11,3048,0,1,0.00,196.65
127,[U:1:1191805576],Lighter,11,15,33,4177,1,1,100.00,156.44
128,[U:1:910020345],frostu,41,17,35,11384,1,2,50.00,273.65
129,[U:1:186812575],Un4given,160,67,143,51976,7,9,77.78,313.30
130,[U:1:1045325347],Mase,90,42,87,25824,5,7,71.43,216.58
131,[U:1:910498548],tendon,34,18,19,13635,1,2,50.00,358.34
132,[U:1:149780902],lynn2822,44,19,38,13242,2,2,100.00,265.19
133,[U:1:170162153],Gaul Soodman,13,11,24,4133,1,2,50.00,122.52
134,[U:1:97252216],Benaty,565,240,454,166779,9,21,42.86,334.09
135,[U:1:166329375],Weazel,102,62,149,39780,2,7,28.57,264.47
136,[U:1:106711772],namba,105,40,92,30687,4,4,100.00,309.66
137,[U:1:143474481],ruadhr1,239,112,151,68925,6,9,66.67,343.17
138,[U:1:424423660],Guz,325,162,359,106698,12,22,54.55,233.87
139,[U:1:131957877],zambz,35,21,27,9828,0,1,0.00,293.96
140,[U:1:136305209],Buud,604,211,565,175243,13,28,46.43,282.71
141,[U:1:170965550],Yui,24,14,29,7669,0,1,0.00,274.38
142,[U:1:194687031],Exe_Red,81,23,44,23958,3,3,100.00,351.98
143,[U:1:74689694],tua,47,33,59,14986,1,4,25.00,179.04
144,[U:1:54226197],swir,16,10,13,5022,1,1,100.00,265.25
145,[U:1:162632057],asura,100,68,115,39475,0,6,0.00,265.35
146,[U:1:346694113],deemore,8,6,9,4378,0,1,0.00,236.44
147,[U:1:242176874],tom,19,9,22,5605,0,1,0.00,252.48
148,[U:1:341978248],Switch,12,5,14,4054,0,1,0.00,184.41
149,[U:1:107815702],Kunonai,208,84,177,62541,3,8,37.50,304.34
150,[U:1:182286974],res,1377,704,815,424475,20,53,37.74,343.93
151,[U:1:368558514],kori,23,15,8,7703,1,1,100.00,434.79
152,[U:1:171404685],Zeus,11,12,19,5412,1,1,100.00,265.51
153,[U:1:103369113],eron,58,37,53,17974,3,4,75.00,223.19
154,[U:1:388493689],Santaz,12,10,28,5632,1,1,100.00,192.44
155,[U:1:254196047],Fuzze,46,31,27,14744,1,2,50.00,342.75
156,[U:1:66331709],Just1s,31,15,31,8853,2,3,66.67,192.04
157,[U:1:73190327],Cronk,34,18,28,10439,1,1,100.00,301.27
158,[U:1:929721906],rally,42,31,22,13321,2,2,100.00,278.97
159,[U:1:39214368],Villdjack,681,309,559,228182,10,29,34.48,341.62
160,[U:1:78882025],Included_Middle,17,9,18,7002,0,1,0.00,334.49
161,[U:1:342701279],shadow,98,44,56,27768,2,3,66.67,337.60
162,[U:1:62805912],yak,178,97,176,63521,3,7,42.86,354.97
163,[U:1:101451298],Joe,42,31,21,14859,2,2,100.00,387.29
164,[U:1:89717288],Lanzer,81,44,48,26094,2,4,50.00,365.29
165,[U:1:163789798],saltyy,272,126,125,75680,7,11,63.64,361.59
166,[U:1:92195546],b_fisch,6,6,18,3489,0,2,0.00,149.64
167,[U:1:263957340],sigfff,136,100,114,42712,3,6,50.00,273.47
168,[U:1:212076167],Mlody,17,13,17,6336,1,1,100.00,304.37
169,[U:1:25305114],Silvermaster,190,117,168,61571,5,11,45.45,249.97
170,[U:1:289567042],hedon/,9,2,20,2869,0,1,0.00,154.80
171,[U:1:214681073],Timka,54,46,54,17604,2,3,66.67,262.88
172,[U:1:297570966],D D,157,88,130,48011,4,8,50.00,277.68
173,[U:1:190905255],Luka Enderman,23,17,18,10858,0,1,0.00,388.48
174,[U:1:251775087],Endrit,151,71,113,41349,5,7,71.43,284.77
175,[U:1:216095022],Husky,22,17,22,6357,1,1,100.00,228.12
176,[U:1:55128465],~Solar,10,8,30,5533,1,2,50.00,162.02
177,[U:1:13955615],Mimo,23,19,23,9263,0,1,0.00,341.39
178,[U:1:855006242],N3lly,241,128,241,79206,6,13,46.15,263.11
179,[U:1:105630318],piquu,178,87,66,51557,3,6,50.00,345.13
180,[U:1:203078724],lunaire,18,5,24,4819,1,1,100.00,216.42
181,[U:1:3245096],barkje,37,30,64,13958,0,3,0.00,202.49
182,[U:1:76256537],Balen,169,95,243,58548,5,14,35.71,213.45
183,[U:1:121293941],toco,194,94,103,56896,6,9,66.67,323.33
184,[U:1:248853188],broken,71,26,54,18340,2,2,100.00,345.71
185,[U:1:3287106],chooper,43,21,51,13425,0,2,0.00,284.53
186,[U:1:117913556],csiga,275,134,151,97133,5,11,45.45,384.08
187,[U:1:128996054],Mads,20,21,38,10663,2,2,100.00,215.70
188,[U:1:121376521],Superiumentarius,149,125,136,53944,4,11,36.36,234.30
189,[U:1:48284703],jyrkas,891,283,712,247228,12,33,36.36,342.99
190,[U:1:477787496],stick,130,29,96,31287,2,4,50.00,288.45
191,[U:1:359550253],humphrey,20,9,7,5018,1,1,100.00,323.05
192,[U:1:66109902],Bob D,140,72,85,42405,2,6,33.33,285.81
193,[U:1:81419312],Fridge :],68,37,58,19736,1,3,33.33,280.81
194,[U:1:143626373],Pendulum,70,43,133,27409,5,6,83.33,208.43
195,[U:1:68711672],gedu,81,69,94,32603,1,4,25.00,292.23
196,[U:1:302915470],lolevont,233,122,154,71162,5,13,38.46,270.49
197,[U:1:201937938],Rawlop,622,317,363,184305,15,27,55.56,322.86
198,[U:1:199128143],red,24,20,21,8284,1,1,100.00,266.22
