id,steamid,etf2l_name,overall_kills,overall_assists,overall_deaths,overall_dmg,overall_wins,matches_played,win_rate,dapm,date_played
1,[U:1:110239401],Yxxo,96,39,74,29129,1,4,25.00,446.30,2023-07-24
2,[U:1:121561437],Townze,213,104,113,67097,3,8,37.50,433.78,2023-07-24
3,[U:1:41890209],kindred,199,78,142,58312,5,7,71.43,429.25,2023-07-24
4,[U:1:160494787],darkitime,87,39,42,24604,3,4,75.00,564.56,2023-07-24
5,[U:1:108321727],MatZer,66,44,58,23094,1,3,33.33,412.67,2023-07-24
6,[U:1:144630819],varnu,140,55,74,48728,4,5,80.00,580.19,2023-07-24
7,[U:1:98224660],kid warrior,130,61,60,37067,2,5,40.00,547.42,2023-07-24
8,[U:1:143633930],pijacka,157,63,99,52660,1,5,20.00,457.30,2023-07-24
9,[U:1:14220905],SchmitShot,230,110,143,77028,6,8,75.00,486.57,2023-07-24
10,[U:1:1016389893],Mimmoguy,47,26,62,17753,2,3,66.67,387.99,2023-07-24
11,[U:1:171183924],FizzyPug,133,85,120,41410,3,5,60.00,316.91,2023-07-24
12,[U:1:137240493],Kosuke,106,44,87,30276,1,3,33.33,339.22,2023-07-24
13,[U:1:230673489],samii,145,58,134,47212,2,7,28.57,406.51,2023-07-24
14,[U:1:71706948],Sketis,21,12,16,6442,1,1,100.00,459.87,2023-07-24
15,[U:1:285837700],Depruu,22,17,28,9434,0,1,0.00,268.77,2023-07-24
16,[U:1:389383214],buko,16,7,15,6410,0,1,0.00,570.06,2023-07-24
17,[U:1:111667300],menex,38,23,21,13794,2,2,100.00,639.25,2023-07-24
18,[U:1:399120986],DastRon,131,90,106,41999,1,5,20.00,393.11,2023-07-24
19,[U:1:38255057],Clark,175,90,123,52867,4,7,57.14,484.57,2023-07-24
20,[U:1:142193306],Lucian,553,213,393,153758,11,16,68.75,455.94,2023-07-24
21,[U:1:127859943],peak,110,30,88,32705,1,3,33.33,377.20,2023-07-24
22,[U:1:84500845],haunts,103,44,117,34132,3,4,75.00,360.27,2023-07-24
23,[U:1:231206798],Fancy,211,86,112,60725,3,6,50.00,482.00,2023-07-24
24,[U:1:52038978],drew,53,23,54,16939,1,3,33.33,517.19,2023-07-24
