id,steamid,etf2l_name,overall_kills,overall_assists,overall_deaths,overall_dmg,overall_wins,matches_played,win_rate,dapm
1,[U:1:110239401],Yxxo,69,12,67,23546,1,3,33.33,316.55
2,[U:1:121561437],Townze,10,3,16,2741,0,1,0.00,150.47
3,[U:1:285229424],Hugee,1427,175,1037,447983,28,52,53.85,374.22
4,[U:1:316758676],Osero,745,106,441,254067,13,26,50.00,433.11
5,[U:1:52038978],drew,347,49,291,127189,8,18,44.44,332.58
6,[U:1:855862090],Suomipe,119,41,154,41434,5,8,62.50,216.55
7,[U:1:93135041],row,39,18,43,16042,2,2,100.00,257.29
8,[U:1:38195886],BigZZZ,575,123,530,187474,16,28,57.14,301.43
9,[U:1:170452617],Seba,752,110,630,252259,18,33,54.55,354.43
10,[U:1:355793953],Chonkerton,0,0,1,0,1,1,100.00,0.00
11,[U:1:117340001],kevin,705,98,596,248062,14,38,36.84,304.81
12,[U:1:236419358],Blanc,259,35,193,87964,5,9,55.56,385.41
13,[U:1:63723362],STiNGHAN,1577,219,1168,533059,35,69,50.72,336.54
14,[U:1:40977758],lawn,41,12,48,13127,1,3,33.33,226.98
15,[U:1:230673489],samii,1519,485,1469,558539,41,82,50.00,313.56
16,[U:1:41890209],kindred,4130,718,2502,1404652,74,150,49.33,401.18
17,[U:1:144630819],varnu,688,195,446,251162,16,27,59.26,403.66
18,[U:1:346771441],nebuden,409,68,297,152359,8,20,40.00,322.82
19,[U:1:106244285],bb,831,156,614,270525,15,33,45.45,364.95
20,[U:1:112650503],kpn.,484,111,417,169780,10,25,40.00,324.33
21,[U:1:159147733],redlix,4662,892,2957,1558411,101,188,53.72,396.85
22,[U:1:127859943],peak,336,62,305,116687,9,18,50.00,318.57
23,[U:1:206838965],AlesKee,321,53,230,114511,9,14,64.29,380.31
24,[U:1:160494787],darkitime,586,110,453,199978,17,26,65.38,358.70
25,[U:1:171183924],FizzyPug,173,32,184,62939,6,11,54.55,255.94
26,[U:1:128358531],Yawnn,4,1,21,1932,0,1,0.00,105.57
27,[U:1:298221737],laiky,868,96,504,271447,15,32,46.88,384.42
28,[U:1:316415963],stun,149,29,211,54560,3,8,37.50,282.26
29,[U:1:108321727],MatZer,196,35,109,63069,4,7,57.14,411.05
30,[U:1:83755882],ox.,26,4,11,9074,1,1,100.00,490.05
31,[U:1:143441153],Toaster1337,5153,1008,4158,1776088,121,241,50.21,315.97
32,[U:1:1213744611],Zag,374,68,340,131031,12,20,60.00,284.86
33,[U:1:142193306],Lucian,5008,607,2456,1718973,80,147,54.42,503.17
34,[U:1:143633930],pijacka,2619,576,1690,935358,60,100,60.00,401.01
35,[U:1:51292522],supra,127,31,157,45058,6,9,66.67,252.12
36,[U:1:14220905],SchmitShot,130,21,106,44263,4,7,57.14,334.23
37,[U:1:34044692],Assassin+,1058,244,723,352407,25,41,60.98,363.99
38,[U:1:178292277],James,1782,288,1549,647261,36,84,42.86,329.02
39,[U:1:38255057],Clark,1118,274,932,387758,30,53,56.60,329.43
40,[U:1:86560303],Axio,2527,482,1702,844951,59,97,60.82,372.35
41,[U:1:34394789],Liko,259,49,193,86039,6,11,54.55,365.86
42,[U:1:86633992],Harry,0,0,1,0,0,1,0.00,0.00
43,[U:1:472671769],ATLAR,12,1,11,4468,1,1,100.00,289.50
