id,steamid,etf2l_name,overall_kills,overall_assists,overall_deaths,overall_dmg,overall_wins,matches_played,win_rate,dapm,date_played
1,[U:1:170452617],Seba,105,17,86,35553,3,4,75.00,415.40,2023-07-24
2,[U:1:63723362],STiNGHAN,826,126,635,271990,20,38,52.63,424.32,2023-07-24
3,[U:1:159147733],redlix,462,78,274,156118,9,17,52.94,538.81,2023-07-24
4,[U:1:298221737],laiky,42,4,20,12470,1,2,50.00,611.38,2023-07-24
5,[U:1:41890209],kindred,579,126,389,207741,8,23,34.78,510.83,2023-07-24
6,[U:1:160494787],darkitime,216,44,156,69685,6,8,75.00,491.65,2023-07-24
7,[U:1:1213744611],Zag,110,17,86,37239,4,5,80.00,440.29,2023-07-24
8,[U:1:230673489],samii,169,55,189,63798,2,9,22.22,429.62,2023-07-24
9,[U:1:108321727],MatZer,60,11,28,17839,1,2,50.00,572.75,2023-07-24
10,[U:1:366869734],frbuz,238,38,177,82553,4,10,40.00,443.59,2023-07-24
11,[U:1:85949170],miknando,44,9,60,15389,1,2,50.00,221.05,2023-07-24
12,[U:1:86560303],Axio,76,22,55,26906,2,3,66.67,452.14,2023-07-24
13,[U:1:38195886],BigZZZ,14,3,25,4681,1,1,100.00,334.16,2023-07-24
14,[U:1:82333728],Marv,30,6,26,10681,0,1,0.00,304.30,2023-07-24
15,[U:1:456016415],sunflower,117,12,78,39367,4,4,100.00,548.66,2023-07-24
16,[U:1:204540949],lit,301,59,194,105773,4,10,40.00,547.21,2023-07-24
17,[U:1:92537046],Ganon,15,4,31,4864,1,1,100.00,194.36,2023-07-24
18,[U:1:285229424],Hugee,59,8,54,17896,0,2,0.00,457.62,2023-07-24
19,[U:1:482398482],Strong Arm,20,3,17,5323,1,1,100.00,422.85,2023-07-24
20,[U:1:137240493],Kosuke,24,4,22,8243,1,1,100.00,360.71,2023-07-24
21,[U:1:142193306],Lucian,162,29,75,56023,2,4,50.00,597.85,2023-07-24
22,[U:1:68503598],ollitf,382,42,252,138825,8,14,57.14,533.21,2023-07-24
23,[U:1:35486188],DaFuQWiZaT,8,2,6,2208,1,1,100.00,842.56,2023-07-24
24,[U:1:116418386],Doraemon,56,15,45,17273,0,2,0.00,299.65,2023-07-24
25,[U:1:472671769],ATLAR,12,1,11,4468,1,1,100.00,562.75,2023-07-24
26,[U:1:1025409876],racecar,44,5,49,16342,1,3,33.33,405.37,2023-07-24
