id,steamid,etf2l_name,overall_kills,overall_assists,overall_deaths,overall_dmg,overall_wins,matches_played,win_rate,dapm
1,[U:1:110239401],Yxxo,490,163,504,213756,7,24,29.17,377.12
2,[U:1:285229424],Hugee,143,36,159,53065,3,7,42.86,360.62
3,[U:1:316758676],Osero,448,159,412,170752,7,21,33.33,376.83
4,[U:1:52038978],drew,869,359,1391,403709,20,54,37.04,334.67
5,[U:1:93135041],row,3466,952,4266,1291643,85,173,49.13,328.17
6,[U:1:105792079],Jortand,20,16,35,11076,3,3,100.00,267.75
7,[U:1:38195886],BigZZZ,2169,630,2670,820823,58,103,56.31,349.73
8,[U:1:170452617],Seba,102,26,152,37935,2,7,28.57,282.71
9,[U:1:355793953],Chonkerton,326,138,532,163728,12,27,44.44,296.75
10,[U:1:117340001],kevin,287,100,335,113091,5,15,33.33,308.70
11,[U:1:236419358],Blanc,1702,361,1524,592587,31,61,50.82,420.61
12,[U:1:40977758],lawn,34,17,61,16972,1,3,33.33,237.98
13,[U:1:230673489],samii,2458,525,2372,841743,58,107,54.21,370.12
14,[U:1:41890209],kindred,189,71,288,85885,4,14,28.57,306.13
15,[U:1:144630819],varnu,3028,1119,2410,1294233,73,138,52.90,414.82
16,[U:1:346771441],nebuden,362,142,436,146650,9,25,36.00,275.00
17,[U:1:106244285],bb,1066,309,1051,372035,20,50,40.00,358.08
18,[U:1:112650503],kpn.,85,30,86,31377,3,4,75.00,323.53
19,[U:1:159147733],redlix,481,180,511,179350,9,24,37.50,322.49
20,[U:1:127859943],peak,42,10,53,14467,0,2,0.00,314.27
21,[U:1:206838965],AlesKee,1244,448,1366,514145,33,61,54.10,370.15
22,[U:1:160494787],darkitime,412,145,436,169661,15,21,71.43,333.30
23,[U:1:171183924],FizzyPug,107,40,145,40285,4,6,66.67,285.20
24,[U:1:128358531],Yawnn,240,77,315,101894,6,15,40.00,311.03
25,[U:1:298221737],laiky,65,18,50,20275,3,3,100.00,343.84
26,[U:1:138153086],Wata,13,2,20,6196,0,2,0.00,247.02
27,[U:1:108321727],MatZer,12,2,15,5260,0,1,0.00,303.17
28,[U:1:83755882],ox.,498,164,486,187521,10,22,45.45,364.83
29,[U:1:143441153],Toaster1337,256,122,395,110219,5,15,33.33,286.27
30,[U:1:977832462],Mk.3,97,49,138,46036,3,6,50.00,298.29
31,[U:1:77294380],MS,96,37,122,32196,2,4,50.00,306.39
32,[U:1:87005070],DickSauce,20,19,36,14187,1,2,50.00,355.71
33,[U:1:294231699],Mong,8829,2659,9633,3431016,230,422,54.50,357.77
34,[U:1:22162172],TheMasterOfDisaster,14,10,46,9365,0,2,0.00,211.56
35,[U:1:142193306],Lucian,903,249,1088,327304,15,42,35.71,326.74
36,[U:1:143633930],pijacka,4354,1327,3989,1705330,110,194,56.70,393.40
37,[U:1:51292522],supra,417,113,577,158708,6,25,24.00,293.04
38,[U:1:14220905],SchmitShot,852,329,962,369472,23,42,54.76,367.82
39,[U:1:34044692],Assassin+,1108,422,1130,446830,26,55,47.27,360.27
40,[U:1:38255057],Clark,2617,876,3016,1025931,58,141,41.13,334.72
41,[U:1:86560303],Axio,1551,509,1888,581379,36,77,46.75,331.24
42,[U:1:34394789],Liko,188,48,225,67455,5,9,55.56,336.57
43,[U:1:254738923],Yupsilon,753,189,726,249991,17,30,56.67,340.77
44,[U:1:85949170],miknando,106,30,95,39792,3,6,50.00,339.72
45,[U:1:194963619],GOZ,963,419,969,434789,34,60,56.67,343.98
46,[U:1:468872526],ryft,395,145,420,172996,14,22,63.64,346.87
47,[U:1:179733554],Haiva,3251,1057,3019,1275346,62,154,40.26,365.33
48,[U:1:106786225],Condawg,294,114,337,125263,9,17,52.94,319.78
49,[U:1:106022087],Faisal,68,35,65,30955,3,4,75.00,362.12
50,[U:1:71706948],Sketis,338,110,374,133087,7,15,46.67,357.66
51,[U:1:89140144],dempsey,434,127,492,164964,5,19,26.32,348.58
52,[U:1:129880729],Lilliputt,10,3,31,5937,0,1,0.00,204.14
53,[U:1:246020109],PyroHam,9,3,15,4678,1,1,100.00,275.45
54,[U:1:101982160],auto,243,74,339,97832,2,13,15.38,326.18
55,[U:1:159105955],sup3rfr3ddy,16,10,29,9587,0,1,0.00,295.44
56,[U:1:82333728],Marv,53,17,49,17581,1,2,50.00,354.57
57,[U:1:285837700],Depruu,30,8,32,11367,2,2,100.00,316.92
58,[U:1:161960689],Borat,1415,460,2070,562081,53,96,55.21,273.88
59,[U:1:111667300],menex,784,271,671,325364,25,42,59.52,369.26
60,[U:1:330779065],quarkyonic,8,5,19,4161,0,1,0.00,238.45
61,[U:1:275066432],Elysioner,3842,1612,3449,1746694,106,203,52.22,387.58
62,[U:1:204540949],lit,357,105,329,126118,9,14,64.29,375.07
63,[U:1:192765534],Agen,392,119,380,143509,9,21,42.86,350.01
