id,steamid,etf2l_name,overall_kills,overall_assists,overall_deaths,overall_dmg,overall_wins,matches_played,win_rate,dapm,date_played
1,[U:1:93135041],row,331,79,447,120792,6,17,35.29,426.45,2023-07-24
2,[U:1:236419358],Blanc,773,163,673,261322,12,25,48.00,617.79,2023-07-24
3,[U:1:106244285],bb,131,29,128,42533,1,8,12.50,545.86,2023-07-24
4,[U:1:77294380],MS,71,27,90,24434,1,3,33.33,392.45,2023-07-24
5,[U:1:294231699],Mong,1639,497,1832,624335,43,72,59.72,472.35,2023-07-24
6,[U:1:34394789],Liko,67,16,78,22919,0,3,0.00,436.35,2023-07-24
7,[U:1:142193306],Lucian,73,21,117,26625,0,4,0.00,370.33,2023-07-24
8,[U:1:254738923],Yupsilon,111,29,119,38843,4,5,80.00,393.95,2023-07-24
9,[U:1:179733554],Haiva,114,42,110,50942,1,5,20.00,445.73,2023-07-24
10,[U:1:38255057],Clark,18,9,16,7442,1,1,100.00,490.56,2023-07-24
11,[U:1:89140144],dempsey,15,4,19,8370,0,1,0.00,597.50,2023-07-24
12,[U:1:106786225],Condawg,36,15,31,13245,1,2,50.00,512.89,2023-07-24
13,[U:1:159105955],sup3rfr3ddy,16,10,29,9587,0,1,0.00,273.13,2023-07-24
14,[U:1:161960689],Borat,55,20,78,22900,3,4,75.00,495.57,2023-07-24
15,[U:1:144630819],varnu,451,177,359,178779,13,21,61.90,560.23,2023-07-24
16,[U:1:111667300],menex,66,16,65,25249,2,3,66.67,349.51,2023-07-24
17,[U:1:84500845],haunts,358,89,380,123406,5,13,38.46,416.93,2023-07-24
18,[U:1:170452617],Seba,6,4,18,3944,0,1,0.00,537.75,2023-07-24
19,[U:1:143633930],pijacka,184,49,149,70270,3,8,37.50,466.23,2023-07-24
20,[U:1:52038978],drew,68,22,101,25253,1,3,33.33,333.15,2023-07-24
21,[U:1:94628609],GardenFungus,16,9,16,7806,1,1,100.00,381.27,2023-07-24
22,[U:1:1025409876],racecar,73,18,87,26291,3,3,100.00,403.56,2023-07-24
23,[U:1:468872526],ryft,13,7,19,7097,0,1,0.00,449.38,2023-07-24
24,[U:1:86560303],Axio,24,11,37,7989,1,1,100.00,269.89,2023-07-24
25,[U:1:110239401],Yxxo,91,28,132,41568,0,4,0.00,318.58,2023-07-24
26,[U:1:301530244],Black,7,1,5,3308,1,1,100.00,1040.38,2023-07-24
27,[U:1:275066432],Elysioner,400,152,373,187418,7,20,35.00,531.39,2023-07-24
28,[U:1:103548491],[☁]Emiel,22,8,17,6465,1,1,100.00,601.95,2023-07-24
29,[U:1:354890507],Senor el general,96,28,130,39271,3,6,50.00,339.76,2023-07-24
30,[U:1:96748980],Kwq,47,17,50,17135,0,2,0.00,410.47,2023-07-24
31,[U:1:112621228],lardox,102,35,134,42297,4,7,57.14,645.09,2023-07-24
32,[U:1:28467840],buddy,173,30,153,52767,6,7,85.71,494.22,2023-07-24
33,[U:1:38195886],BigZZZ,117,43,135,39622,4,5,80.00,430.91,2023-07-24
34,[U:1:159147733],redlix,27,7,30,8803,0,1,0.00,305.88,2023-07-24
35,[U:1:192765534],Agen,21,6,23,7082,0,1,0.00,340.84,2023-07-24
36,[U:1:346771441],nebuden,94,41,113,35652,3,6,50.00,347.14,2023-07-24
37,[U:1:248256384],ALOV69,16,3,14,4752,0,1,0.00,547.71,2023-07-24
38,[U:1:1003113205],Orange,103,24,101,33214,2,4,50.00,395.99,2023-07-24
39,[U:1:1102552676],ethereal,15,3,20,4467,0,1,0.00,395.82,2023-07-24
40,[U:1:130179038],Thero,0,3,2,960,1,1,100.00,0.00,2023-07-24
41,[U:1:162973073],wiitabix,45,13,39,19546,2,3,66.67,498.48,2023-07-24
42,[U:1:31964550],Tercio,45,12,60,15966,1,2,50.00,296.68,2023-07-24
43,[U:1:10247471],HartzFartz,17,5,23,7465,0,1,0.00,435.25,2023-07-24
44,[U:1:316758676],Osero,149,40,127,49065,2,6,33.33,514.04,2023-07-24
45,[U:1:230673489],samii,113,19,115,37089,3,5,60.00,627.69,2023-07-24
46,[U:1:57420578],anni,25,11,25,8805,0,1,0.00,409.43,2023-07-24
47,[U:1:194963619],GOZ,35,11,23,12019,1,1,100.00,324.19,2023-07-24
48,[U:1:204540949],lit,38,10,34,11321,1,1,100.00,356.47,2023-07-24
49,[U:1:71706948],Sketis,46,14,54,19825,1,2,50.00,354.71,2023-07-24
50,[U:1:170965550],Yui,28,5,21,7799,1,1,100.00,389.79,2023-07-24
51,[U:1:206838965],AlesKee,83,31,82,28777,1,3,33.33,414.66,2023-07-24
52,[U:1:487784807],Houf,87,29,107,29324,2,4,50.00,347.21,2023-07-24
53,[U:1:67231495],shappie,21,9,23,9038,1,1,100.00,523.88,2023-07-24
54,[U:1:346694113],deemore,8,1,7,2869,0,1,0.00,768.44,2023-07-24
55,[U:1:41152020],Der_Milchmann,42,8,48,14460,2,2,100.00,299.59,2023-07-24
56,[U:1:34044692],Assassin+,23,2,18,7050,0,1,0.00,590.01,2023-07-24
57,[U:1:424423660],Guz,26,6,20,8628,1,1,100.00,297.10,2023-07-24
58,[U:1:112650503],kpn.,23,11,26,8927,1,1,100.00,370.56,2023-07-24
59,[U:1:160494787],darkitime,12,13,24,9910,2,2,100.00,596.75,2023-07-24
