id,steamid,etf2l_name,overall_kills,overall_assists,overall_deaths,overall_dmg,overall_wins,matches_played,win_rate,dapm
1,[U:1:1059000294],Casper,9,0,15,3664,0,1,0.00,205.27
2,[U:1:110239401],Yxxo,7,0,8,3378,0,1,0.00,274.63
3,[U:1:121561437],Townze,10,4,20,4703,0,1,0.00,226.11
4,[U:1:835892855],MX,56,7,130,24220,2,5,40.00,199.83
5,[U:1:285229424],Hugee,185,35,278,68537,6,10,60.00,288.29
6,[U:1:52038978],drew,127,21,276,52304,3,11,27.27,211.89
7,[U:1:855862090],Suomipe,1595,198,2124,632026,39,104,37.50,268.66
8,[U:1:93135041],row,38,4,60,14301,1,3,33.33,219.73
9,[U:1:38195886],BigZZZ,1730,236,2301,646611,48,102,47.06,285.17
10,[U:1:170452617],Seba,129,27,179,42369,1,9,11.11,249.96
11,[U:1:355793953],Chonkerton,862,67,1423,350258,25,62,40.32,238.18
12,[U:1:117340001],kevin,564,46,669,224535,15,34,44.12,305.12
13,[U:1:236419358],Blanc,225,39,262,87028,7,12,58.33,333.63
14,[U:1:40977758],lawn,352,94,589,129511,12,26,46.15,204.60
15,[U:1:230673489],samii,2960,221,2882,1115669,86,159,54.09,314.02
16,[U:1:41890209],kindred,620,98,798,235056,20,36,55.56,302.97
17,[U:1:144630819],varnu,305,120,301,115824,6,15,40.00,326.33
18,[U:1:346771441],nebuden,326,68,376,131262,14,28,50.00,213.23
19,[U:1:112650503],kpn.,153,17,138,51278,4,8,50.00,296.40
20,[U:1:159147733],redlix,111,16,142,44094,2,7,28.57,278.69
21,[U:1:127859943],peak,129,10,175,51427,2,8,25.00,287.38
22,[U:1:206838965],AlesKee,636,102,754,234319,17,38,44.74,278.84
23,[U:1:160494787],darkitime,164,21,156,57441,4,11,36.36,258.78
24,[U:1:171183924],FizzyPug,1419,176,1718,551428,41,78,52.56,299.24
25,[U:1:128358531],Yawnn,170,22,278,64427,3,13,23.08,210.74
26,[U:1:298221737],laiky,308,56,228,103510,6,14,42.86,318.59
27,[U:1:316415963],stun,5434,526,6604,2141661,133,296,44.93,322.64
28,[U:1:372241674],veksutin,724,57,870,273475,17,36,47.22,332.27
29,[U:1:108321727],MatZer,69,12,75,24961,1,3,33.33,321.52
30,[U:1:83755882],ox.,32,3,30,11585,1,2,50.00,345.65
31,[U:1:143441153],Toaster1337,686,91,1077,270633,23,44,52.27,263.01
32,[U:1:77294380],MS,108,8,116,43053,1,5,20.00,325.26
33,[U:1:1213744611],Zag,10,1,17,3680,1,1,100.00,158.73
34,[U:1:294231699],Mong,21,1,25,8619,1,1,100.00,313.61
35,[U:1:142193306],Lucian,990,132,1070,340757,15,45,33.33,314.15
36,[U:1:143633930],pijacka,1755,272,1521,635159,42,84,50.00,325.46
37,[U:1:14220905],SchmitShot,1429,272,1489,531309,31,67,46.27,335.21
38,[U:1:34044692],Assassin+,440,106,478,146272,8,22,36.36,284.87
39,[U:1:178292277],James,150,28,258,60242,2,9,22.22,244.04
40,[U:1:38255057],Clark,1681,223,1799,598334,53,96,55.21,290.84
41,[U:1:86560303],Axio,1022,171,803,340731,19,42,45.24,352.51
42,[U:1:254738923],Yupsilon,128,10,135,50865,6,7,85.71,338.35
43,[U:1:86633992],Harry,975,140,1016,346686,31,51,60.78,295.10
44,[U:1:472671769],ATLAR,12,1,23,4950,0,1,0.00,237.79
45,[U:1:85949170],miknando,185,29,213,76605,5,9,55.56,324.00
46,[U:1:194963619],GOZ,346,58,360,138403,8,21,38.10,284.72
47,[U:1:137240493],Kosuke,3,0,9,1372,0,1,0.00,140.48
48,[U:1:468872526],ryft,1112,89,1096,441679,29,54,53.70,372.96
