id,steamid,etf2l_name,overall_kills,overall_assists,overall_deaths,overall_dmg,overall_wins,matches_played,win_rate,dapm,date_played
1,[U:1:1059000294],Casper,9,0,15,3664,0,1,0.00,344.98,2023-07-24
2,[U:1:835892855],MX,45,7,102,20098,2,4,50.00,269.89,2023-07-24
3,[U:1:230673489],samii,275,25,284,112813,11,17,64.71,430.72,2023-07-24
4,[U:1:372241674],veksutin,9,2,12,4661,1,1,100.00,574.58,2023-07-24
5,[U:1:83755882],ox.,32,3,30,11585,1,2,50.00,648.58,2023-07-24
6,[U:1:171183924],FizzyPug,769,89,943,304170,22,42,52.38,389.14,2023-07-24
7,[U:1:142193306],Lucian,178,25,187,56616,3,8,37.50,383.82,2023-07-24
8,[U:1:40977758],lawn,280,81,463,103933,11,20,55.00,246.09,2023-07-24
9,[U:1:38255057],Clark,73,9,60,23367,3,4,75.00,600.29,2023-07-24
10,[U:1:346771441],nebuden,102,16,79,42401,5,8,62.50,373.20,2023-07-24
11,[U:1:86633992],Harry,70,12,80,29070,2,3,66.67,325.61,2023-07-24
12,[U:1:468872526],ryft,89,7,89,37764,2,4,50.00,640.69,2023-07-24
13,[U:1:482398482],Strong Arm,81,10,103,33599,3,5,60.00,408.76,2023-07-24
14,[U:1:71706948],Sketis,34,6,45,12590,3,3,100.00,346.07,2023-07-24
15,[U:1:855862090],Suomipe,217,25,273,88081,7,14,50.00,352.62,2023-07-24
16,[U:1:85949170],miknando,31,1,28,15592,1,1,100.00,444.22,2023-07-24
17,[U:1:38195886],BigZZZ,162,16,181,59437,4,9,44.44,474.49,2023-07-24
18,[U:1:41890209],kindred,57,15,84,18723,1,3,33.33,275.38,2023-07-24
19,[U:1:143633930],pijacka,190,60,136,62222,6,9,66.67,371.89,2023-07-24
20,[U:1:285229424],Hugee,18,2,32,7396,1,1,100.00,323.64,2023-07-24
21,[U:1:236419358],Blanc,142,23,178,54587,3,7,42.86,432.90,2023-07-24
22,[U:1:316415963],stun,742,85,830,284585,15,36,41.67,421.23,2023-07-24
23,[U:1:144630819],varnu,84,31,70,28278,0,3,0.00,347.22,2023-07-24
24,[U:1:67500577],Bolzer,12,1,19,4769,1,1,100.00,301.97,2023-07-24
25,[U:1:178292277],James,23,2,28,7838,0,1,0.00,264.79,2023-07-24
26,[U:1:472671769],ATLAR,12,1,23,4950,0,1,0.00,342.69,2023-07-24
27,[U:1:137240493],Kosuke,3,0,9,1372,0,1,0.00,431.50,2023-07-24
28,[U:1:90645211],Piney,15,15,19,7472,1,1,100.00,394.63,2023-07-24
29,[U:1:254738923],Yupsilon,34,4,26,12889,1,1,100.00,408.93,2023-07-24
30,[U:1:355793953],Chonkerton,51,3,82,21004,1,3,33.33,257.13,2023-07-24
31,[U:1:192765534],Agen,106,5,128,41757,4,6,66.67,408.71,2023-07-24
32,[U:1:859668824],Hate,92,5,80,35570,1,3,33.33,384.05,2023-07-24
33,[U:1:101810142],Arcades,75,2,93,28436,1,4,25.00,367.25,2023-07-24
34,[U:1:60508241],CoCoBaer,63,10,112,26671,2,4,50.00,336.94,2023-07-24
35,[U:1:100967616],$neaky,290,39,268,99976,6,12,50.00,483.90,2023-07-24
36,[U:1:129880729],Lilliputt,39,5,59,14814,3,4,75.00,341.25,2023-07-24
37,[U:1:117340001],kevin,58,6,70,25100,4,4,100.00,397.44,2023-07-24
38,[U:1:108321727],MatZer,29,2,23,9824,0,1,0.00,437.66,2023-07-24
39,[U:1:487784807],Houf,11,4,17,5349,1,1,100.00,340.78,2023-07-24
40,[U:1:108878660],Yuval,6,2,16,2893,0,1,0.00,237.90,2023-07-24
41,[U:1:237340554],Akio,176,16,142,64631,1,6,16.67,418.61,2023-07-24
42,[U:1:1025409876],racecar,17,4,28,6448,0,1,0.00,304.21,2023-07-24
43,[U:1:28467840],buddy,63,10,62,23123,1,3,33.33,359.69,2023-07-24
44,[U:1:75226449],Raelyn,18,2,9,6350,1,1,100.00,681.70,2023-07-24
45,[U:1:389383214],buko,12,5,12,4726,1,1,100.00,604.35,2023-07-24
46,[U:1:143441153],Toaster1337,51,7,80,21684,1,3,33.33,384.58,2023-07-24
47,[U:1:231206798],Fancy,14,3,13,5603,0,1,0.00,680.49,2023-07-24
48,[U:1:41152020],Der_Milchmann,10,4,15,3766,1,1,100.00,309.70,2023-07-24
49,[U:1:10247471],HartzFartz,2,4,17,2093,1,1,100.00,169.44,2023-07-24
50,[U:1:275066432],Elysioner,18,5,20,7718,0,1,0.00,450.00,2023-07-24
51,[U:1:117490478],Brian,13,4,29,6860,0,1,0.00,228.41,2023-07-24
52,[U:1:14220905],SchmitShot,37,2,49,14558,1,2,50.00,493.63,2023-07-24
53,[U:1:186812575],Un4given,25,4,20,7075,1,1,100.00,391.52,2023-07-24
54,[U:1:910020345],frostu,100,8,112,36579,2,5,40.00,410.92,2023-07-24
